Darija (Arabic),Darija (Arabizi),English
مشيت لصنطر الإسلامي و شهدت أو بدلت سميتي بحال سميتك حيت أنت مول الفضل بعد الله سبحانه و غادي نمشي نحج إن شاء الله,mchit lcentre lislamiy w chehedt o bedelt smyti bhal smeytk 7it nta mol lfadel ba3d allah sobhano w ghadi nmchi n7ej inchaallah,"I went to the Islamic center, testified, and changed my name to be like yours because you are the one who helped me after God Almighty, and I will go to perform Hajj, God willing."
سديت البرية دغية و عاودت حليتها و بديت نقراها تاني,sdit lberiya dghiya w 3awdt 7litha w bdit nqraha tani,"I quickly closed the letter, reopened it, and started reading it again."
زعزعتني البرية ماتيقتش بديت غير كنبكي كيفاش سيدي ربي هدى رجل للسلام على يدي,za3za3tni lberiya matiqtch bdit ghir kanbki kifach sidi rabbi hda rajel lslam 3la yddi,"The wilderness shook me, I couldn't believe it, I just started crying—how did my Lord guide a man to peace through me?"
كتاب كيساوي مياة دينار مستحيل يهدي واحد كافر,ktab kaysawi miyat dinar mosta7it yhdi wahed kafer,A book worth 100 dinars is impossible to gift to a non-believer.
فرحت بزاف حيت سيدي ربي هداه و بقى فيا الحال حيت ڭلت معا راسي فين كنت هاد الوقت كامل مع الخدمة معمرى ما هدرت معا شى واحد على الإسلام,fre7t bzaf 7it sidi rebi hdah o b9a fiya l7al 7it golt m3a rasi fin kont had lwe9t kaml m3a l5edma ma3omry mahdert m3a chi wahed 3la lislam,"I was very happy because God guided him, and I felt sad because I thought to myself, where was I all this time with work, and I never spoke to anyone about Islam."
هدرنا بزاف و ضحكنا بزاف ولكن عمري ما هدرت لهم على الأسلا,hdarna bzaf w d7kna bzaf walakin 3omri ma hdart lihom 3la lasla,"We talked a lot and laughed a lot, but I never told them about the origin."
فكرت شوية كن كان كل واحد عطى غير كتاب واحد أشنو كان غايوقع,"fekrt chwiyya kon kan kol wa7ed 36a ghir ktab wa7ed, ashno kan ghaywqe3?","I thought for a moment, if everyone gave just one book, what would happen?"
فكرت شوية كن كان كل واحد عطى غير كتاب واحد أشنو كان غايوقع,"fekrt chwiyya kon kan kol wa7ed 36a ghir ktab wa7ed, achno kan ghaywqe3?","I thought for a moment, if everyone gave just one book, what would happen?"
كنقرا في السنة الرابعة في عمري سطاشر عام بغا بابا يزوجني بولد عمي و أنا مبغيتش نتزوج بيه,"kan9ra fi ssana rabe3a, f 3omri 16 3am. bgha baba yzawwjni b wld 3mmi w ana mabghitch ntzawwj bih.","I am in the fourth year of school, I am sixteen years old, my father wants me to marry my cousin, but I don't want to marry him."
بابا بزز علي الزواج بيه بلا ميسولني فرفضت,baba bzz 3liya zzwaj bih bla maysowlni farafadt,"My father pressured me to marry him without asking, so I refused"
حيت أنا باقي كانقرا و بغيت نكمل قرايتي قبل الزواج,7it ana baqi kanqra w bghit nkml qrayti qbl zzawaj,Because I am still studying and I want to finish my studies before marriage.
و لكن تقاليدنا و تقاليد الواليد مكتسمحش للبنت باش تعطي الرﺃي ديالها,walakin t9alidna w t9alid lwalid makatsma7sh lbent bash t36i rra2y dialha,But our traditions and the traditions of the parents do not allow the girl to express her opinion.
و لكن تقاليدنا و تقاليد الواليد مكتسمحش للبنت باش تعطي الرﺃي ديالها,walakin t9alidna w t9alid lwalid makatsma7ch lbent bach t36i rra2y dialha,But our traditions and the traditions of the parents do not allow the girl to express her opinion.
الهدرة ديال الواليد هي اللي كانية و الزواج غادي يكون بزز علي,lhdra dial lwalid hiya lli kania w zzawaj ghadi ykoun bzz 3liya,"What my father says is final, and the marriage will be forced on me."
هدرت مع ماما باش تهدر معاه حاولات و لكن بلا فايدة,hdart m3a mama bach thdr m3ah 7awlat walakin bla fayda,"I talked to mom to talk to him, she tried but to no avail."
هدرت مع خوتي الكبار و حتا هوما بلا فايدة,hdart m3a khouti lkbar w 7ta huma bla fayda,"I talked to my older siblings, but it was pointless."
هدرت مع خوتي الكبار و حتا هوما بلا فايدة,hdart m3a 5outi lkbar w 7ta huma bla fayda,"I talked to my older siblings, but it was pointless."
هدرت مع ولد عمي على قبل الزواج تفهم الموضوع و هدر حتى هو مع واليديه,hdart m3a wld 3mmi 3la qbel zzwaaj tfhem lmodoo3 w hdar 7tta howa m3a walidih.,"I talked to my cousin about marriage, he understood the matter, and he also spoke with his parents."
مابغاش ٱباه و ڭال ليه إلى متزوجتيش بنت عمك غادي يطرا مشكل مع عمك,mabghach babah w gal lih ila matzawjtesh bnt 3ammk ghadi y6ra mochkil m3a 3ammk,"His father refused and told him that if he didn’t marry his cousin, there would be a problem with his uncle."
مابغاش ٱباه و ڭال ليه إلى متزوجتيش بنت عمك غادي يطرا مشكل مع عمك,mabghach babah w gal lih ila matzawjtech bnt 3ammk ghadi y6ra mochkil m3a 3ammk,"His father refused and told him that if he didn’t marry his cousin, there would be a problem with his uncle."
مشيت عود هدرت مع الواليد,msheet 3awd hdart m3a lwalid,I went and talked to my father.
مشيت عود هدرت مع الواليد,mcheet 3awd hdart m3a lwalid,I went and talked to my father.
هدرت ليه على قرايتي لي باقي مكملتش و على المستقبل ديالي,hdart lih 3la qraiti li baqi mkmltch w 3la lmostaqbal diali,I talked to him about my studies that I haven't finished yet and about my future.
توفات أمو نهار تزاد و خلاتو بوهدو,twaffat ommo nhar tzzad w khlato bou7do,His mother passed away the day he was born and left him alone.
توفات أمو نهار تزاد و خلاتو بوهدو,twaffat ommo nhar tzzad w 5lato bou7do,His mother passed away the day he was born and left him alone.
حار الواليد ديالو في التربية ديالو و داه عند خالتو باش يعيش مع ولادها حيت كان مشغول في الخدمة الصباح و الليل,7ar lwalid dialo f tarbiya dialo w dah 3nd khalto bash y3ish m3a wladha 7it kan mshghol f lkhidma ssba7 w llil.,"His father struggled with raising him, so he took him to his aunt to live with her children because he was busy with work day and night."
حار الواليد ديالو في التربية ديالو و داه عند خالتو باش يعيش مع ولادها حيت كان مشغول في الخدمة الصباح و الليل,7ar lwalid dialo f tarbiya dialo w dah 3nd 5alto bach y3ich m3a wladha 7it kan mchghol f l5idma ssba7 w llil.,"His father struggled with raising him, so he took him to his aunt to live with her children because he was busy with work day and night."
تزوج باه بعد سبعة شهور من الموت ديال مراتو و جاب ولدو يعيش معه,tzwej bah b3d 7 sb3a shhor mn lmot dyal mrato w jab wldo y3ish m3ah,His father got married seven months after his wife’s death and brought his son to live with him.
تزوج باه بعد سبعة شهور من الموت ديال مراتو و جاب ولدو يعيش معه,tzwej bah b3d 7 sb3a chhor mn lmot dyal mrato w jab wldo y3ich m3ah,His father got married seven months after his wife’s death and brought his son to live with him.
دازت ثلث سنين و ولدات ليه مراتو الجديدة جوج بنيات و ولد,dazet 3tl3 snin w wldat lih mrato ljdida juj bniat w wld,"Three years passed, and his new wife gave birth to two girls and a boy."
مرات باه كاني مامهلياش في الصغير لي كان في عمرو ربع سنين,marat bahi kani mamahliyach fi sseghir li kan fi 3omro rba3 snin,Sometimes his father seemed neglectful of him when he was four years old.
ديما مهليا فيه الخدامة و كانت كاتشقى حتى في البيت,dima mehlia fih lkhadama w kant katshqa 7tta f lbit,She was always diligent at work and hardworking even at home.
ديما مهليا فيه الخدامة و كانت كاتشقى حتى في البيت,dima mehlia fih l5adama w kant katchqa 7tta f lbit,She was always diligent at work and hardworking even at home.
و واحد النهار عردات الزوجة عاى عإلتها للعشا و تهلات فيهم و في ولادها و نخلات الليتيم,w wa7ed nnhar 3rdat zzawja 3la 3a2iltha l3cha w thallat fihom w fi wladha w nkhlat llyatim,"And one day, the wife invited her family for dinner, took care of them and her children, but neglected the orphan."
و واحد النهار عردات الزوجة عاى عإلتها للعشا و تهلات فيهم و في ولادها و نخلات الليتيم,w wa7ed nnhar 3rdat zzawja 3la 3a2iltha l3cha w thallat fihom w fi wladha w n5lat llyatim,"And one day, the wife invited her family for dinner, took care of them and her children, but neglected the orphan."
حتى الخدامة تشغلات في العرادة و نسات الصغير,7tta lkhdama tchghlat f l3rada w nsat ssghir,Even the maid got busy in the garden and forgot the little one.
حتى الخدامة تشغلات في العرادة و نسات الصغير,7tta l5dama tchghlat f l3rada w nsat ssghir,Even the maid got busy in the garden and forgot the little one.
تجمعات العائلة عندها و بداو تيهدرو حتى وصل وقت لعشا بدا تيشوف ف الماكلة بش ياكل منها,tjama3at l3a2ila 3ndha w bdaou tihdrou 7tta wsl wqt l3cha bda tishouf f lmakla bsh yakl mnha.,"The family gathered at her place and started talking until dinner time, then he started looking at the food to eat from it."
تجمعات العائلة عندها و بداو تيهدرو حتى وصل وقت لعشا بدا تيشوف ف الماكلة بش ياكل منها,tjama3at l3a2ila 3ndha w bdaou tihdrou 7tta wsl wqt l3cha bda tichouf f lmakla bch yakl mnha.,"The family gathered at her place and started talking until dinner time, then he started looking at the food to eat from it."
عطاتو مرتا باه شوييا ديال الروز في الطبسيل و ڭالت ليه سير تاكل عشاتك في الساحة,36ato mrto bah chwiya dial roz f 6ebsil w galet lih sir takol 3chatk f ssa7a.,His wife gave him some rice in the plate and told him to go eat his dinner in the yard.
ڭلس الولد في البرد كياكل الروز و بقوة البرد تكمش مورا واحد الباب,gls lweld f lbard kayakl lroz w bqowa lbard tkemsh mora wa7d lbab,"The boy sat in the cold eating rice, and because of the cold, he curled up behind a door."
ڭلس الولد في البرد كياكل الروز و بقوة البرد تكمش مورا واحد الباب,gls lweld f lbard kayakl lroz w bqowa lbard tkemch mora wa7d lbab,"The boy sat in the cold eating rice, and because of the cold, he curled up behind a door."
الخدامة تغلات في جميع الدار و نعس الولد في بلاسيو,lkhdama tghlat f jmi3 ddar w n3s lwld f blasio,"The maid cleaned the entire house, and the boy slept in his place."
الخدامة تغلات في جميع الدار و نعس الولد في بلاسيو,l5dama tghlat f jmi3 ddar w n3s lwld f blasio,"The maid cleaned the entire house, and the boy slept in his place."
عائلة المرا تولفو و كلاو و من بعد مرات الراجل قلت ل الخدامة بش تنقي الدار و مشات تنعس بلا متسول على الولد,3a2ila lmra toulfo w klaw w mn b3d marat rajel qt l lkhdama bch tnqi ddar w mchat t3ns bla matsoul 3la lwld,"The woman's family got used to it and ate, and then the man's wife told the maid to clean the house and went to sleep without checking on the child."
عائلة المرا تولفو و كلاو و من بعد مرات الراجل قلت ل الخدامة بش تنقي الدار و مشات تنعس بلا متسول على الولد,3a2ila lmra toulfo w klaw w mn b3d marat rajel qt l l5dama bch tnqi ddar w mchat t3ns bla matsoul 3la lwld,"The woman's family got used to it and ate, and then the man's wife told the maid to clean the house and went to sleep without checking on the child."
رجع الراجل من خدمة و سولها على ولدو,rje3 rrajel mn khdma w sowlha 3la wldo,The man returned from work and asked her about his son.
رجع الراجل من خدمة و سولها على ولدو,rje3 rrajel mn 5dma w sowlha 3la wldo,The man returned from work and asked her about his son.
ڭالت ليه راه مع الخدامة,galet lih rah m3a lkhddama,She told him it's with the maid.
ڭالت ليه راه مع الخدامة,galet lih rah m3a l5ddama,She told him it's with the maid.
و هي ماعارفاش واش هو معاها ولا لا,w hi ma3arfash wash howa m3aha wla la,And she doesn't know if he is with her or not.
و هي ماعارفاش واش هو معاها ولا لا,w hi ma3arfach wach howa m3aha wla la,And she doesn't know if he is with her or not.
نعس باباه و في المنام حلم بمراتو اللولة كاتڭوليه ديها في ولدك,n3es babah flmanam 7lem b mrato llewla katgol lih diha fi weldk,His father fell asleep and in his dream he saw his first wife telling him Take care of your son.
فاق مخلوع و سول مراتو على ولدو,fa9 me5lo3 w sewl mrato 3la weldo,He woke up in a panic and asked his wife where his son was.
هدناتو بلي هو مع الخدامة و مناضش تتأكد,hdnato blli howa m3a lkhddama w manadsh tta2kad,We calmed her down by saying he was with the workers and not resting to confirm.
هدناتو بلي هو مع الخدامة و مناضش تتأكد,hdnato blli howa m3a l5ddama w manadch tta2kad,We calmed her down by saying he was with the workers and not resting to confirm.
نعس عوتاني و حلم مراتو تتقول ليه ديها في ولدك,n3es 3awtani w 7lem mrato tat9ol lih diha fi weldk,He fell asleep again and dreamed that his wife was telling him Take care of your son.
فاق مخلوع مرة أخرى و سول مراتو على ولدو,fa9 me5lo3 merra 5ra w sewel mrato 3la weldo,He woke up startled once again and asked his wife about his son.
مشى يقلب على ولدو عند الخدامة ولكن ملقاهش بغى يحماق,mcha y9elleb 3la wldo 3nd lkhdama wlakin mla9ahch bgha y7maq,"He went to look for his son at the nanny's, but he didn't find him and almost went crazy."
مشى يقلب على ولدو عند الخدامة ولكن ملقاهش بغى يحماق,mcha y9elleb 3la wldo 3nd l5dama wlakin mla9ahch bgha y7maq,"He went to look for his son at the nanny's, but he didn't find him and almost went crazy."
بدى كيجري بحال شي حمق في الدار حتى لقاه ولكن ميت,bda kayjri b7al shi 7me9 f dar 7tta l9ah walakin mayt,"He started running like crazy in the house until he found him, but he was dead."
بدى كيجري بحال شي حمق في الدار حتى لقاه ولكن ميت,bda kayjri b7al chi 7me9 f dar 7tta l9ah walakin mayt,"He started running like crazy in the house until he found him, but he was dead."
باقي كنتفكر فاش كنت صغير,baqi kantfkr fash knt sghir,I still remember when I was little.
باقي كنتفكر فاش كنت صغير,baqi kantfkr fach knt sghir,I still remember when I was little.
دخلت ل سبيطار ل مدة سيمانة بسباب البرد و فاش خرجت سمعت الطبيب تيقول ل بابا بلي الصحة ديالي مزيانة ولكن يقد يكون ل هاد المرض تأتير ف المستقبل,d5elt lssbi6ar lmodat simana bsbab lberd w fach 5rejt sme3t 6bib tay9ol l baba bli essa7a dyali mezyana walakin y9ed ykon l had lmerd ta2tir f lmosta9bal,"I was admitted to the hospital for a week because of a cold, and when I was discharged, I heard the doctor telling my dad that my health is fine but this illness might have effects in the future."
دازز ليام و وليت شاب و من بعد تزوجت,daz liyyam w wlit shab w mn b3d tzewwejt,"Days passed, I grew up, and then I got married."
دازز ليام و وليت شاب و من بعد تزوجت,daz liyyam w wlit chab w mn b3d tzewwejt,"Days passed, I grew up, and then I got married."
بعد المرات كنحس بلعيا وخى ندير أي مجهود صغير,b3d lmrat kn7ss b l3ya wkha ndir ay mjhud sghir,Sometimes I feel tired even if I make a small effort.
بعد المرات كنحس بلعيا وخى ندير أي مجهود صغير,b3d lmrat kn7ss b l3ya w5a ndir ay mjhud sghir,Sometimes I feel tired even if I make a small effort.
مشيت لصبيطار باش ندير قيزيت و تصاب عندي ضعف في القلب,mshit lsbitar bash ndir qizit w tsab 3ndi d3f f lqalb,I went to the hospital to do a check-up and was diagnosed with a weak heart.
مشيت لصبيطار باش ندير قيزيت و تصاب عندي ضعف في القلب,mchit lsbitar bach ndir qizit w tsab 3ndi d3f f lqalb,I went to the hospital to do a check-up and was diagnosed with a weak heart.
مشيت لصبيطار باش ندير قيزيت و تصاب عندي ضعف في القلب,msheet lsbitar bash ndir qizit w tsab 3ndi d3f f lqalb,I went to the hospital to do a check-up and was diagnosed with a weak heart.
مشيت لصبيطار باش ندير قيزيت و تصاب عندي ضعف في القلب,mcheet lsbitar bach ndir qizit w tsab 3ndi d3f f lqalb,I went to the hospital to do a check-up and was diagnosed with a weak heart.
و هاد الضعف جا من البرد لي كان جاني هو اللي دار لي الروماتيزم في القلب,w had d3f ja mn lberd li kan jani howa lli dar liya rromatizm f l9elb,"And this weakness came from the cold I had, which caused rheumatism in my heart."
ڭال لي الطبيب خاصك عملية ديال القلب,gal liya ttabib khassk 3amliya dial l9elb,The doctor told me you need heart surgery.
ڭال لي الطبيب خاصك عملية ديال القلب,gal liya ttabib 5assk 3amliya dial l9elb,The doctor told me you need heart surgery.
ڭلي ليه واش ميمكنش غير نرتاح و نتبع الدوا صافي ڭاليا لازم تفتح على القلب,"golli lih wash maymkench ghir nerta7 w ntb3 ddwa safi, galiya lazm tfta7 3la lqelb.","He told me, ""Isn't it possible to just rest and take the medicine?"" He said, ""You have to open your heart."""
ڭلي ليه واش ميمكنش غير نرتاح و نتبع الدوا صافي ڭاليا لازم تفتح على القلب,"golli lih wach maymkench ghir nerta7 w ntb3 ddwa safi, galiya lazm tfta7 3la lqelb.","He told me, ""Isn't it possible to just rest and take the medicine?"" He said, ""You have to open your heart."""
دازت لييام و بديت كنحس بلعيا و قلبي بدا تيدرني,dazt liyam w bdit kn7ess b l3ya w qalbi bda ydirni,"Days passed, and I started feeling dizzy, and my heart began to hurt."
رجعت عند الطبيب,rj3t 3nd ttbib,I went back to the doctor.
ڭال لي خاصك تدير راديو,gal li khasek tdir radio,He told me you need to turn on the radio.
ڭال لي خاصك تدير راديو,gal li 5asek tdir radio,He told me you need to turn on the radio.
درت التحاليل و الراديو خديت رونديفو باش ندخل السبيطار و ندير العملية,dirt lta7alil w rradiyo khdit rondivo bash ndkhol ssbitar w ndir l3amaliya,"I did the tests and the X-ray, took an appointment to go to the hospital and have the surgery."
درت التحاليل و الراديو خديت رونديفو باش ندخل السبيطار و ندير العملية,dirt lta7alil w rradiyo 5dit rondivo bach nd5ol ssbitar w ndir l3amaliya,"I did the tests and the X-ray, took an appointment to go to the hospital and have the surgery."
فقت معا السبعة ديال الصباح خديت طاكسي باش نمشي لسبيطار,fe9t m3a seb3a dyal sba7 5dit taxi bach nmchi lsbitar,I woke up at seven in the morning and took a taxi to go to the hospital.
ڭلست مع الطبيب اللي غادي يدير لي العملية,nqlst m3a ttabib lli ghadi ydir liya l3amaliya,I sat with the doctor who will perform the surgery.
هوا يوقفلي الفرملي عند راسي,hwa ywqfli lfrimli 3nd rasi,He stops the brake at my head.
هدر معايا و مجاوبتوش شافني مخلوع,hdar m3aya w majawbtosh shafni mkhlo3,"He talked to me, and I didn’t respond; he saw me scared."
هدر معايا و مجاوبتوش شافني مخلوع,hdar m3aya w majawbtoch chafni m5lo3,"He talked to me, and I didn’t respond; he saw me scared."
كان هاز في يدو إبرة كتنعس مديت ليه يدي,kan haz f yeddo ibra katna3s mdit lih yddi,"He was holding a needle that puts people to sleep, and I extended my hand to him."
مشيت عند طبيب العينين باش ندوز و باش ندير النظادر,msheet 3nd tbeeb l3inineen bash ndooz w bash ndir nnaddar.,I went to the eye doctor to get examined and to get glasses.
مشيت عند طبيب العينين باش ندوز و باش ندير النظادر,mcheet 3nd tbeeb l3inineen bach ndooz w bach ndir nnaddar.,I went to the eye doctor to get examined and to get glasses.
ڭلست في قاعة الانتظار و لقيت بزاف ديال المرضى,nqlst fi 9a3at lintidar w l9it bzaf dial lmarda.,I sat in the waiting room and found many patients.
آش جابك هنا,ash jabek hna,What brought you here?
آش جابك هنا,ach jabek hna,What brought you here?
جيت ندوز على عيني كيضروني و بغيت نظادر,jyt nduz 3la 3yni kydruni w bghit ndader,"I came to check on my eyes because they hurt, and I want to consult."
