Darija (Arabic),Darija (Arabizi),English
خاصو شي حوايج جداد,5asso chi hwayej jdad,He needs some new clothes.
خاصو شي حوايج جداد,5asso shi 7wayej jdad,He needs some new clothes.
خاصو شي حوايج جداد,5asso shi hwayej jdad,He needs some new clothes.
خاصو شي حوايج جداد,khasso chi hwayej jdad,He needs some new clothes.
خاصو شي حوايج جداد,khasso shi 7wayej jdad,He needs some new clothes.
خاصو شي حوايج جداد,khasso shi hwayej jdad,He needs some new clothes.
شحال هاداك؟,ch7al hadak?,How much is that?
شحال هاداك؟,chhal hadak?,How much is that?
شحال هاداك؟,sh7al hadak?,How much is that?
شحال هاداك؟,shhal hadak?,How much is that?
شحال هادا؟,ch7al hada?,How much is this?
شحال هادا؟,chhal hada?,How much is this?
شحال هادا؟,sh7al hada?,How much is this?
شحال هادا؟,shhal hada?,How much is this?
تيقتك.,tiy9tk.,Your trust.
تيقتك.,tiyqtk.,Your trust.
بغيت نشري واحد لا كارت ديال تيليفون عافاك.,bghit nchri wa7d la carte dial téléphone 3afak.,"I want to buy a phone card, please."
بغيت نشري واحد لا كارت ديال تيليفون عافاك.,bghit nchri wahd la carte dial téléphone 3afak.,"I want to buy a phone card, please."
بغيت نشري واحد لا كارت ديال تيليفون عافاك.,bghit nshri wa7d la carte dial téléphone 3afak.,"I want to buy a phone card, please."
بغيت نشري واحد لا كارت ديال تيليفون عافاك.,bghit nshri wahd la carte dial téléphone 3afak.,"I want to buy a phone card, please."
بغيت نمشي لدار.,bghit nmshi ldar.,I want to go home.
بغيت نمشي لدار.,bghit nmchi ldar.,I want to go home.
بغيت نمشي نتقدا.,bghit nmshi nt9adda.,I want to go shopping.
بغيت نمشي نتقدا.,bghit nmchi nt9adda.,I want to go shopping.
بغيت نمشي نتقدا.,bghit nmchi ntqadda.,I want to go shopping.
بغيت نمشي نتقدا.,bghit nmshi ntqadda.,I want to go shopping.
الا عجباتك نقدر نشري كتر.,ila 3jbatk n9der nchri ktr.,"If you like it, I can buy more."
الا عجباتك نقدر نشري كتر.,ila 3jbatk n9der nshri ktr.,"If you like it, I can buy more."
الا عجباتك نقدر نشري كتر.,ila 3jbatk nqder nchri ktr.,"If you like it, I can buy more."
الا عجباتك نقدر نشري كتر.,ila 3jbatk nqder nshri ktr.,"If you like it, I can buy more."
انا موبتاديء .,ana mobtadi2.,I am a beginner.
شبعت,shbe3t,I'm full.
شبعت,chbe3t,I'm full.
هي كانضحك,hiya kand7k,I am laughing.
هي كانضحك,hiya kandhk,I am laughing.
انا مامزووجش,ana mamzewwejsh,I am not married.
انا مامزووجش,ana mamzewwejch,I am not married.
كانهدر جوج تلوغات,kanhder juj tlloughat,I speak two languages.
صحابني ڭال شي هاجا خرا,s7abni gal shi haja khra,My friend said something else.
صحابني ڭال شي هاجا خرا,s7abni gal chi haja 5ra,My friend said something else.
صحابني ڭال شي هاجا خرا,s7abni gal chi haja khra,My friend said something else.
صحابني ڭال شي هاجا خرا,s7abni gal shi haja 5ra,My friend said something else.
صحابني ڭال شي هاجا خرا,shabni gal chi haja 5ra,My friend said something else.
صحابني ڭال شي هاجا خرا,shabni gal chi haja khra,My friend said something else.
صحابني ڭال شي هاجا خرا,shabni gal shi haja 5ra,My friend said something else.
صحابني ڭال شي هاجا خرا,shabni gal shi haja khra,My friend said something else.
مابعيدش بزاف,mab3idsh bzaf,Not too far.
مابعيدش بزاف,mab3idch bzaf,Not too far.
عاداتان كانشرب لقهوا فل فطور,3adatan kanchrb l9ahwa fl ftor,I usually drink coffee at breakfast.
عاداتان كانشرب لقهوا فل فطور,3adatan kanchrb lqahwa fl ftor,I usually drink coffee at breakfast.
عاداتان كانشرب لقهوا فل فطور,3adatan kanshrb l9ahwa fl ftor,I usually drink coffee at breakfast.
عاداتان كانشرب لقهوا فل فطور,3adatan kanshrb lqahwa fl ftor,I usually drink coffee at breakfast.
اعتادير، ماعندناش,"a3tadir, ma3ndnash","Sorry, we don't have it."
اعتادير، ماعندناش,"a3tadir, ma3ndnach","Sorry, we don't have it."
لكتوبا غالين.,lktouba ghalin.,The books are expensive.
شنو بغيتي تشري؟,shno bghiti tchri?,What do you want to buy?
شنو بغيتي تشري؟,chno bghiti tchri?,What do you want to buy?
شنو بغيتي تشري؟,shno bghiti tshri?,What do you want to buy?
شمن تايل؟,chmn tayl?,Which style?
شمن تايل؟,shmn tayl?,Which style?
امتا كايحل لماحال؟,emta kay7ell lma7al?,When do the shops open?
امتا كايحل لماحال؟,emta kayhell lmahal?,When do the shops open?
امتا غاتوصل طيارا؟,emta ghatwsl tayara?,When will the plane arrive?
فينك؟,finek?,Where are you?
فين كاين نتا؟,fin kayn nta?,Where are you?
بغيتي شي هاجا ماتاكول؟,bghiti chi haja matakol?,Do you want something to eat?
بغيتي شي هاجا ماتاكول؟,bghiti shi haja matakol?,Do you want something to eat?
واش نطقتها صحيحا؟,wash nte9tha s7e7a?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wach nte9tha s7e7a?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wach nte9tha sheha?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wach nteqtha s7e7a?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wach nteqtha sheha?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wash nte9tha sheha?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wash nteqtha s7e7a?,Did I pronounce it correctly?
واش نطقتها صحيحا؟,wash nteqtha sheha?,Did I pronounce it correctly?
واخا دير فيا واحد ل پليزير؟,wa5a dir fiyya wa7d l plizir?,Can you do me a favor?
واخا دير فيا واحد ل پليزير؟,wa5a dir fiyya wahd l plizir?,Can you do me a favor?
واخا دير فيا واحد ل پليزير؟,wakha dir fiyya wa7d l plizir?,Can you do me a favor?
واخا دير فيا واحد ل پليزير؟,wakha dir fiyya wahd l plizir?,Can you do me a favor?
واخا تعاوني؟,wa5a t3awni?,Can you help me?
واخا تعاوني؟,wakha t3awni?,Can you help me?
واخا تعاود تڭولها تاني عافاك؟,wa5a t3awd tgoulha tani 3afak?,"Can you repeat it again, please?"
واخا تعاود تڭولها تاني عافاك؟,wakha t3awd tgoulha tani 3afak?,"Can you repeat it again, please?"
تقد توريني؟,t9dr twerini?,Can you show me?
تقد توريني؟,tqdr twerini?,Can you show me?
كاين شي واحد هنا كايهدر بل انڭلايس؟,kayn chi wa7ed hna kayhdar bel anglais?,Is there anyone here who speaks English?
كاين شي واحد هنا كايهدر بل انڭلايس؟,kayn chi wahed hna kayhdar bel anglais?,Is there anyone here who speaks English?
كاين شي واحد هنا كايهدر بل انڭلايس؟,kayn shi wa7ed hna kayhdar bel anglais?,Is there anyone here who speaks English?
كاين شي واحد هنا كايهدر بل انڭلايس؟,kayn shi wahed hna kayhdar bel anglais?,Is there anyone here who speaks English?
ماديرش هاكاك,ma dirsh hakak,Don't do that.
ماديرش هاكاك,ma dirch hakak,Don't do that.
واش كاتيق داكشي؟,wash katiy9 dakchi?,Do you believe that?
واش كاتيق داكشي؟,wach katiy9 dakchi?,Do you believe that?
واش كاتيق داكشي؟,wach katiyq dakchi?,Do you believe that?
واش كاتيق داكشي؟,wash katiy9 dakshi?,Do you believe that?
واش كاتيق داكشي؟,wash katiyq dakchi?,Do you believe that?
واش كاتيق داكشي؟,wash katiyq dakshi?,Do you believe that?
عندك شي قالام؟,3ndek chi 9alam?,Do you have a pen?
عندك شي قالام؟,3ndek chi qalam?,Do you have a pen?
عندك شي قالام؟,3ndek shi 9alam?,Do you have a pen?
عندك شي قالام؟,3ndek shi qalam?,Do you have a pen?
واش كاتكمي؟,wash katkmi?,Do you smoke?
واش كاتكمي؟,wach katkmi?,Do you smoke?
سمح ليا، شنو ڭلتي؟,"sme7 lia, shno gliti?","Excuse me, what did you say?"
سمح ليا، شنو ڭلتي؟,"sme7 lia, chno gliti?","Excuse me, what did you say?"
سمح ليا، شنو ڭلتي؟,"smeh lia, chno gliti?","Excuse me, what did you say?"
سمح ليا، شنو ڭلتي؟,"smeh lia, shno gliti?","Excuse me, what did you say?"
نسا.,nsa.,Women.
كيفاش كاتنطق هادشي؟,kifash katnte9 hadchi?,How do you pronounce this?
كيفاش كاتنطق هادشي؟,kifach katnte9 hadchi?,How do you pronounce this?
كيفاش كاتنطق هادشي؟,kifach katnteq hadchi?,How do you pronounce this?
كيفاش كاتنطق هادشي؟,kifash katnte9 hadshi?,How do you pronounce this?
كيفاش كاتنطق هادشي؟,kifash katnteq hadchi?,How do you pronounce this?
كيفاش كاتنطق هادشي؟,kifash katnteq hadshi?,How do you pronounce this?
كيفاش كاتڭولو ليها بل انڭلايس؟,kifash katgolo liha bel anglais?,How do you say it in English?
كيفاش كاتڭولو ليها بل انڭلايس؟,kifach katgolo liha bel anglais?,How do you say it in English?
كانقدر نعوم,kan9der n3om,I can swim.
كانقدر نعوم,kanqder n3om,I can swim.
كانسمعك مزيان,kansme3ek mzyan,I hear you well.
ماعندي سوق,ma3ndi sou9,I don't care.
ماعندي سوق,ma3ndi souq,I don't care.
ماكانضنش,makandnsh,I don't think so.
ماكانضنش,makandnch,I don't think so.
مافهمتش شنو كاتڭول,mafhemtch shno katgoul,I don't understand what you're saying.
مافهمتش شنو كاتڭول,mafhemtch chno katgoul,I don't understand what you're saying.
مافهمتش شنو كاتڭول,mafhemtsh shno katgoul,I don't understand what you're saying.
كاينا شي كليما فهاد لبيت؟,kayna chi klima fhad lbit?,Is there any air conditioning in this room?
كاينا شي كليما فهاد لبيت؟,kayna shi klima fhad lbit?,Is there any air conditioning in this room?
كايباليا عندك بزاف تلحوايج,kaybaliya 3ndk bzaf tlhawej,They bring you a lot of things.
كانتيق فيك.,kanti9 fik.,I trust you.
كانتيق فيك.,kantiq fik.,I trust you.
فهمت دابا.,fhemt daba.,I understand now.
نتلاقاو ڭدام لوطيل,ntl9aw gdam lhotel,Let's meet in front of the hotel.
نتلاقاو ڭدام لوطيل,ntlqaw gdam lhotel,Let's meet in front of the hotel.
عافاك ڭلس,3afak gles,Please sit.
عافاك هدر بل انڭلايس.,3afak hder bel anglais.,Please speak in English.
عافاك هدر بشويا,3afak hder bchwiya,Please speak slowly.
عافاك هدر بشويا,3afak hder bshwiya,Please speak slowly.
سمح ليا، ماسمعتش مزيان.,"sme7 lia, masme3tch mzyan.","Sorry, I didn't hear well."
سمح ليا، ماسمعتش مزيان.,"sme7 lia, masme3tsh mzyan.","Sorry, I didn't hear well."
سمح ليا، ماسمعتش مزيان.,"smeh lia, masme3tch mzyan.","Sorry, I didn't hear well."
سمح ليا، ماسمعتش مزيان.,"smeh lia, masme3tsh mzyan.","Sorry, I didn't hear well."
هادشي غالاط.,hadchi ghalat.,This is wrong.
هادشي غالاط.,hadshi ghalat.,This is wrong.
جرب تڭولها,jerreb tgoulha,Try to say it.
شنو كايعني هادشي؟,shno kay3ni hadchi?,What does this mean?
شنو كايعني هادشي؟,chno kay3ni hadchi?,What does this mean?
شنو كايعني هادشي؟,shno kay3ni hadshi?,What does this mean?
شنو كاتعني هاد لكلما؟,shno kat3ni had lklma?,What does this word mean?
شنو كاتعني هاد لكلما؟,chno kat3ni had lklma?,What does this word mean?
ديالمن هاد لكتاب؟,dialman had lktab?,Whose book is this?
علاش نتا ماغاديش؟,3lash nta maghadich?,Why aren't you going?
علاش نتا ماغاديش؟,3lach nta maghadich?,Why aren't you going?
علاش نتا ماغاديش؟,3lash nta maghadish?,Why aren't you going?
علاش كاضحك؟,3lash katd7k?,Why are you laughing?
علاش كاضحك؟,3lach katd7k?,Why are you laughing?
علاش كاضحك؟,3lach katdhk?,Why are you laughing?
علاش كاضحك؟,3lash katdhk?,Why are you laughing?
علاش درتي هادشي؟,3lash drti hadchi?,Why did you do this?
علاش درتي هادشي؟,3lach drti hadchi?,Why did you do this?
علاش درتي هادشي؟,3lash drti hadshi?,Why did you do this?
واش فيك لحاساسيا ديال شي هاجا؟,wash fik l7assasiya dial chi 7aja?,Do you have an allergy to something?
واش فيك لحاساسيا ديال شي هاجا؟,wach fik l7assasiya dial chi 7aja?,Do you have an allergy to something?
واش فيك لحاساسيا ديال شي هاجا؟,wach fik lhassasiya dial chi haja?,Do you have an allergy to something?
واش فيك لحاساسيا ديال شي هاجا؟,wash fik l7assasiya dial shi 7aja?,Do you have an allergy to something?
واش فيك لحاساسيا ديال شي هاجا؟,wash fik lhassasiya dial chi haja?,Do you have an allergy to something?
واش فيك لحاساسيا ديال شي هاجا؟,wash fik lhassasiya dial shi haja?,Do you have an allergy to something?
واش نتا واجد؟,wash nta wajd?,Are you ready?
واش نتا واجد؟,wach nta wajd?,Are you ready?
نتا واجد؟,nta wajd?,Are you ready?
واجد؟,wajed?,Ready?
واش سيفطي ليا لورد؟,wash sifti lia lword?,Did you send me the file?
واش سيفطي ليا لورد؟,wach sifti lia lword?,Did you send me the file?
واش كاتبيع ل باتريات؟,wash katbi3 l batriyat?,Do you sell batteries?
واش كاتبيع ل باتريات؟,wach katbi3 l batriyat?,Do you sell batteries?
ماعندي كاسار.,ma3ndi kassar.,I don't have a teapot.
تانستسلم.,tanstaslam.,I surrender.
درت كسيدا.,dirt ksida.,I had an accident.
دربني لبرد.,drebni lbred.,The cold hit me.
عندي وحدا ف طوموبيل,3ndi wa7da f tomobil,I have one in the car.
عندي وحدا ف طوموبيل,3ndi wahda f tomobil,I have one in the car.
ڭاديت هاد ل كيكا,gadit had l kika,I almost finished this cake.
انا استاد,ana ostad,I am a teacher.
انا خدام عند راسي,ana khddam 3nd rasi,I work for myself.
انا خدام عند راسي,ana 5ddam 3nd rasi,I work for myself.
باقي عندي بزاف ماندير,ba9i 3ndi bzaf mandir,I still have a lot to do.
باقي عندي بزاف ماندير,baqi 3ndi bzaf mandir,I still have a lot to do.
مازال ماقررت,mazal ma9rrert,I haven't decided yet.
مازال ماقررت,mazal maqrrert,I haven't decided yet.
علا حساب لجوو.,3la 7sab ljaww.,Depending on the weather.
علا حساب لجوو.,3la hsab ljaww.,Depending on the weather.
ليوما بارد لحال بزاف,lyouma bard l7al bzzaf,Today is very cold.
ليوما بارد لحال بزاف,lyouma bard lhal bzzaf,Today is very cold.
لباڭاج ديالي ناقس,lbagaj dyali na9es,My tire is flat.
لباڭاج ديالي ناقس,lbagaj dyali naqes,My tire is flat.
كاضرني لمعدا ديالي,kaderni lma3da dyali,My stomach hurts.
لقرجوتا ديالي مجروحا,l9arjota dyali mjrou7a,My pride is hurt.
لقرجوتا ديالي مجروحا,l9arjota dyali mjrouha,My pride is hurt.
لقرجوتا ديالي مجروحا,lqarjota dyali mjrou7a,My pride is hurt.
لقرجوتا ديالي مجروحا,lqarjota dyali mjrouha,My pride is hurt.
تشفرات ليا لماڭانا ديالي,tchafrat lia lmagana diali,My mango got stolen.
تشفرات ليا لماڭانا ديالي,tshafrat lia lmagana diali,My mango got stolen.
خود هاد دوا,khod had dwa,Take this medicine.
خود هاد دوا,5od had dwa,Take this medicine.
لكسيدا وقعات فين ملاقين طروقان,laksida w93at fin mlaqyin tor9an,The accident happened at the intersection.
لكسيدا وقعات فين ملاقين طروقان,laksida w93at fin mlaqyin torqan,The accident happened at the intersection.
وقعات واحد لكسيدا ديال توموبيلات,w93at wa7d lksida dial tomobilat,A car accident happened.
وقعات واحد لكسيدا ديال توموبيلات,w93at wahd lksida dial tomobilat,A car accident happened.
فين نقدر نصرف دولار؟,fin na9dar nseref dollar?,Where can I exchange dollars?
فين نقدر نصرف دولار؟,fin naqdar nseref dollar?,Where can I exchange dollars?
فين خدام نتا؟,fin khddam nta?,Where do you work?
فين خدام نتا؟,fin 5ddam nta?,Where do you work?
فين كاين اقراب صبيطار؟,fin kayn a9rab sbitar?,Where is the nearest hospital?
فين كاين اقراب صبيطار؟,fin kayn aqrab sbitar?,Where is the nearest hospital?
فين جات لبوسطا؟,fin jat lbosta?,Where is the post office?
انتا؟,nta?,You?
انتي؟,nti?,You?
شي هاجا خرا؟,chi haja khra?,Something else?
شي هاجا خرا؟,chi haja 5ra?,Something else?
شي هاجا خرا؟,shi haja 5ra?,Something else?
شي هاجا خرا؟,shi haja khra?,Something else?
واش هوما بحال بحال؟,wash huma b7al b7al?,Are they the same?
واش هوما بحال بحال؟,wach huma b7al b7al?,Are they the same?
واش هوما بحال بحال؟,wach huma bhal bhal?,Are they the same?
واش هوما بحال بحال؟,wash huma bhal bhal?,Are they the same?
واش هوما كيفكيف؟,wash huma kifkif?,Are they the same?
واش هوما كيفكيف؟,wach huma kifkif?,Are they the same?
واش نتا خايف؟,wash nta khayf?,Are you scared?
واش نتا خايف؟,wach nta 5ayf?,Are you scared?
واش نتا خايف؟,wach nta khayf?,Are you scared?
واش نتا خايف؟,wash nta 5ayf?,Are you scared?
واش غاتحضر لعرس ديالهوم؟,wash ghadi t7dr l3rs dyalhom?,Are you going to attend their wedding?
واش غاتحضر لعرس ديالهوم؟,wach ghadi t7dr l3rs dyalhom?,Are you going to attend their wedding?
واش غاتحضر لعرس ديالهوم؟,wach ghadi thdr l3rs dyalhom?,Are you going to attend their wedding?
واش غاتحضر لعرس ديالهوم؟,wash ghadi thdr l3rs dyalhom?,Are you going to attend their wedding?
واش نتا مجووج؟,wash nta mjowej?,Are you married?
واش نتا مجووج؟,wach nta mjowej?,Are you married?
واش نتا لاباس؟,wash nta labas?,Are you okay?
واش نتا لاباس؟,wach nta labas?,Are you okay?
واش نتا مريد؟,wash nta mrid?,Are you sick?
واش نتا مريد؟,wach nta mrid?,Are you sick?
مورا لبانكا.,mora lbanka.,Behind the bank.
واخا تسلفني شي فلوس؟,wa5a tsalfni chi flous?,Can you lend me some money?
واخا تسلفني شي فلوس؟,wa5a tsalfni shi flous?,Can you lend me some money?
واخا تسلفني شي فلوس؟,wakha tsalfni chi flous?,Can you lend me some money?
واخا تسلفني شي فلوس؟,wakha tsalfni shi flous?,Can you lend me some money?
مومكين تدوور من بعد؟,momkin tdoor mn ba3d?,Can you come back later?
مومكين تدوور ليا من بعد؟,momkin tdoor lia mn ba3d?,Can you call me back later?
واش مومكين تڭاد هادي؟,wash momkin t9ad hadi?,Is it possible to fix this?
واش مومكين تڭاد هادي؟,wach momkin t9ad hadi?,Is it possible to fix this?
واش مومكين تڭاد هادي؟,wach momkin tqad hadi?,Is it possible to fix this?
واش مومكين تڭاد هادي؟,wash momkin tqad hadi?,Is it possible to fix this?
مومكين تعطيني شي ميتال؟,moomkin t3tini chi mital?,Can you give me an example?
مومكين تعطيني شي ميتال؟,moomkin t3tini shi mital?,Can you give me an example?
واخا تهدر شويا بجهد عافاك؟,wa5a thdr chwiya bjehd 3afak?,"Can you speak a bit slower, please?"
واخا تهدر شويا بجهد عافاك؟,wa5a thdr shwiya bjehd 3afak?,"Can you speak a bit slower, please?"
واخا تهدر شويا بجهد عافاك؟,wakha thdr chwiya bjehd 3afak?,"Can you speak a bit slower, please?"
واخا تهدر شويا بجهد عافاك؟,wakha thdr shwiya bjehd 3afak?,"Can you speak a bit slower, please?"
كاتعرف تعوم؟,kat3rf t3om?,Do you know how to swim?
واش عزيزا عليه لمدراسا؟,wash 3ziza 3lih lmdrasa?,Does he/she like school?
واش عزيزا عليه لمدراسا؟,wach 3ziza 3lih lmdrasa?,Does he/she like school?
واش كاتقبلو ضولار؟,wash kat9eblo dolar?,Do you accept dollars?
واش كاتقبلو ضولار؟,wach kat9eblo dolar?,Do you accept dollars?
واش كاتقبلو ضولار؟,wach katqeblo dolar?,Do you accept dollars?
واش كاتقبلو ضولار؟,wash katqeblo dolar?,Do you accept dollars?
واش عندك صاحبتك؟,wash 3ndk sa7btk?,Do you have a girlfriend?
واش عندك صاحبتك؟,wach 3ndk sa7btk?,Do you have a girlfriend?
واش عندك صاحبتك؟,wach 3ndk sahbtk?,Do you have a girlfriend?
واش عندك صاحبتك؟,wash 3ndk sahbtk?,Do you have a girlfriend?
واش عندك شي ماوعيد؟,wash 3ndk shi maw3id?,Do you have any appointment?
واش عندك شي ماوعيد؟,wach 3ndk chi maw3id?,Do you have any appointment?
واش عندك شي موشكيل؟,wash 3ndk shi moshkil?,Do you have a problem?
واش عندك شي موشكيل؟,wach 3ndk chi mochkil?,Do you have a problem?
واش كاتسمع هادشي؟,wash katsme3 hadchi?,Are you hearing this?
واش كاتسمع هادشي؟,wach katsme3 hadchi?,Are you hearing this?
واش كاتسمع هادشي؟,wash katsme3 hadshi?,Are you hearing this?
واش عرفتي كيفاش نوصلو ل هوتل مانسور؟,wash 3rafti kifash nweslo l hotel mansour?,Do you know how to get to Hotel Mansour?
واش عرفتي كيفاش نوصلو ل هوتل مانسور؟,wach 3rafti kifach nweslo l hotel mansour?,Do you know how to get to Hotel Mansour?
واش عرفتي اش كايعني هادشي؟,wash 3refti ash kay3ni hadchi?,Do you know what this means?
واش عرفتي اش كايعني هادشي؟,wach 3refti ach kay3ni hadchi?,Do you know what this means?
واش عرفتي اش كايعني هادشي؟,wash 3refti ash kay3ni hadshi?,Do you know what this means?
واش عرفتي فين نقدر ناخود تاكزي؟,wash 3rafti fin na9der nakhod taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wach 3rafti fin na9der na5od taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wach 3rafti fin na9der nakhod taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wach 3rafti fin naqder na5od taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wach 3rafti fin naqder nakhod taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wash 3rafti fin na9der na5od taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wash 3rafti fin naqder na5od taxi?,Do you know where I can get a taxi?
واش عرفتي فين نقدر ناخود تاكزي؟,wash 3rafti fin naqder nakhod taxi?,Do you know where I can get a taxi?
واش عرفتي فين كاينين نضاضري؟,wash 3rafti fin kaynin ndadri?,Do you know where my glasses are?
واش عرفتي فين كاينين نضاضري؟,wach 3rafti fin kaynin ndadri?,Do you know where my glasses are?
واش كايعجبوك ناس لي خدامين معاك؟,wash kay3jbouk nas li khddamin m3ak?,Do you like the people you work with?
واش كايعجبوك ناس لي خدامين معاك؟,wach kay3jbouk nas li 5ddamin m3ak?,Do you like the people you work with?
واش كايعجبوك ناس لي خدامين معاك؟,wach kay3jbouk nas li khddamin m3ak?,Do you like the people you work with?
واش كايعجبوك ناس لي خدامين معاك؟,wash kay3jbouk nas li 5ddamin m3ak?,Do you like the people you work with?
واش خاصاك شي هاجا خرا؟,wash khassak shi haja khra?,Do you need anything else?
واش خاصاك شي هاجا خرا؟,wach 5assak chi haja 5ra?,Do you need anything else?
واش خاصاك شي هاجا خرا؟,wach khassak chi haja khra?,Do you need anything else?
واش خاصاك شي هاجا خرا؟,wash 5assak shi haja 5ra?,Do you need anything else?
واش كاتفهم؟,wash katfhm?,Do you understand?
واش كاتفهم؟,wach katfhm?,Do you understand?
ارا ليا لقالام,ara lia l9alam,Give me the pen.
ارا ليا لقالام,ara lia lqalam,Give me the pen.
كيفاش عرفتي؟,kifash 3rafti?,How did you know?
كيفاش عرفتي؟,kifach 3rafti?,How did you know?
كيدايرا؟,kidayra?,How are you?
شحال تلوقت؟,ch7al talwe9t?,What time is it?
شحال تلوقت؟,ch7al talweqt?,What time is it?
شحال تلوقت؟,chhal talwe9t?,What time is it?
شحال تلوقت؟,chhal talweqt?,What time is it?
شحال تلوقت؟,sh7al talwe9t?,What time is it?
شحال تلوقت؟,sh7al talweqt?,What time is it?
شحال تلوقت؟,shhal talwe9t?,What time is it?
شحال تلوقت؟,shhal talweqt?,What time is it?
شحال من واحد؟,ch7al mn wa7ed?,How many?
شحال من واحد؟,chhal mn wahed?,How many?
شحال من واحد؟,sh7al mn wa7ed?,How many?
شحال من واحد؟,shhal mn wahed?,How many?
عندي بزاف تلحوايج ماندير,3ndi bzaf tl7wayj mandir.,I have a lot of things to do.
عندي بزاف تلحوايج ماندير,3ndi bzaf tlhwayj mandir.,I have a lot of things to do.
من دابا 30 دقيقا.,mn daba 30 d9i9a.,In 30 minutes.
من دابا 30 دقيقا.,mn daba 30 dqiqa.,In 30 minutes.
واش كاين شي واحد اخور جاي؟,wash kayn shi wa7ed akhor jay?,Is anyone else coming?
واش كاين شي واحد اخور جاي؟,wach kayn chi wa7ed a5or jay?,Is anyone else coming?
واش كاين شي واحد اخور جاي؟,wach kayn chi wa7ed akhor jay?,Is anyone else coming?
واش كاين شي واحد اخور جاي؟,wach kayn chi wahed a5or jay?,Is anyone else coming?
واش كاين شي واحد اخور جاي؟,wach kayn chi wahed akhor jay?,Is anyone else coming?
واش كاين شي واحد اخور جاي؟,wash kayn shi wa7ed a5or jay?,Is anyone else coming?
واش كاين شي واحد اخور جاي؟,wash kayn shi wahed a5or jay?,Is anyone else coming?
