Darija_Arabe,Anglais
وخا الدير هاداك النيغاتيف ديال التليفونات ف سليضات؟,Can you put that phone negative in the slides?
خاصني ندي معايا شي كبوط؟,Do I need to take a jacket with me?
ماشي بعيد بزاف. غي عشرة الدقايق على رجليك.,Not too far. Just ten minutes on foot.
غادي تسيفتهوم. ياك؟,"You will send them, right?"
شنو تشرب، قهيوة أولا اتاي؟,"What will you drink, coffee or tea?"
شحال خاصني غاع ايلا بغيت نمشي لهيها؟,How much do I need if I want to go there?
بغيت نعيط ب كارط كريدي.,I want to call with a credit card.
فين غادي نلسق هاد التيكيتات ديال الباغاج؟,Where should I stick these baggage tags?
كاين شي بيسين هنايا؟,Is there a swimming pool here?
نقدر الناخود هاد لبرية؟,Can I take this letter?
حاجا باينة، الروكهاد. كيعجبوك؟,"Its obvious, rock music. Do you like it?"
انا ديالي غادي نديه معايا.,"Mine, I will take it with me."
خاصو لوقت باش يتصاوب، راه من اشهر لحواج عندنا.,It needs time to be prepared; its one of the most important things we have.
كاتاخود مابين يوماين حتال تلاتة.,It takes between two to three days.
واخا توريني كيفاش نمشي ل سان فرانسيسكو؟,Can you show me how to get to San Francisco?
واخا تعطيني شي ايكوطور وحداخرين حيت هادو ماخدامينش؟,Can you give me other codes because these ones are not working?
اش غلتي ف شي قهيوا اولا شي حاجا خرا؟,Did you order a coffee or something else?
انا غادي ل مكسيك.,I am going to Mexico.
كولشي هوا هاداك ايلا لا جات شي حاجا على غفلة.,Everything is fine unless something unexpected happens.
بغيت البيض، عفاك.,"I want eggs, please."
غي كاس د لما، عفاك.,"Just a glass of water, please."
غي يوصل، غادي نصيفطوه ل عندك ل الدار على حسابنا.,"Once it arrives, we will send it to your house at our expense."
هاد الاواخر، وليت كنخدم ديما ف البيسي.,"Lately, Ive been working constantly on the computer."
شي فطور قاري عفاك.,"A continental breakfast, please."
مكاينش شي شي تخفيض ديال الطلبة؟,Is there any student discount?
اه، صافي، فهمت. انا جاي عندكم.,"Oh, okay, I understand. Im coming to you."
بغيت شي بولة الضو، عفاك.,"I want a light bulb, please."
النمرة للي عيتي ليها مخداماش.,The number you called is not working.
شنو هي آلايعاقة ديالك؟,What is your disability?
واو، واعر غي خودو. بيخير دابا ولا عندي شرجم.,"Wow, amazing, just take it. Im fine now, I even have a window."
ايمتاش غادي نوصلو ل روما؟,When will we arrive in Rome?
لا، صافي باراكا.,"No, thats enough."
خاصنا مازال شوييا د الوقت باش نفكو.,We still need a bit more time to figure it out.
واخا تعطيني شي مخدا و لغطا؟,Can you give me a pillow and a blanket?
واخا تجي دغيا، عفاك؟,"Alright, come quickly, please?"
شي كاس د لقهوة، عفاك.,"A cup of coffee, please."
راني طلبت ليه طبق ديال الدراري الصغار.,I asked him for a kids meal.
بغيت شي كارطا تكون ديال هاواي.,I want a card with a Hawaiian theme.
ف الزنقة تنينو سبعين.,"In the street, seventytwo."
ايلا فرقتي، غادي تخرج على الطريق.,"If you get distracted, youll go off track."
وخا تعاود لفصالة ب تلاتة د السانتيم؟,Can you redo the tailoring with three centimeters?
فين كايبدلو، عفاك.,"Where do they exchange, please?"
دبا نسول حدايا. يقدر يكون شي ياباني كايهضر ب النغليزيية.,Now Ill ask nearby. There might be a Japanese person who speaks English.
قطعو من لا كارط ديالي، عفاك. ماستر كارط.,"Cut from my card, please. MasterCard."
للي موراه، عفاك. الباسبور، ورقة الوصول و الديكلاراسيو ديال الديوانا، عفاك.,"Next, please. The passport, the arrival card, and the customs declaration, please."
نقدر نمشي على رجليا؟,Can I walk on my feet?
غادي نرجع من بعد.,I will come back later.
اه. تيرامايا. حطني ف شي بلاصا قريبة من لا سين، عفاك.,"Yeah. Tiramaya. Drop me off somewhere close to La Seine, please."
عندك شي فكرة على شنو خاصني نقوليه؟,Do you have any idea what I should say to him?
كاينة شي طواليط قريبة من هنايا؟,Is there a bathroom nearby?
حتا انا ف نفس لعمر.,"Me too, Im the same age."
كانت ليلة واعرة، شكرا.,"It was an amazing night, thank you."
كاينة شي بلاصا وحدا خرا؟ ماكايبانش ليا مزيان من هنايا.,Is there another spot? I cant see well from here.
هداك الديتيكطور ديال الدخان راه خدام.,That smoke detector is working.
بغيت نشارك فالرحلة ديال الكروازيار ديال الخليج د سان فرانسيسكو.,I want to join the cruise trip of the Gulf of San Francisco.
واش عارف بعدا فين غادي تمشي؟,Do you even know where youre going?
واخا تجيب ليا شي قهيوا؟,Can you bring me some coffee?
لا، خلص الشيفور.,"No, pay the driver."
وقتاش كايحل الحانوت؟,When does the shop open?
بغينا شي كوان.,We want a place.
مامتأكدش، مكانحملش ريحت الماكلا. بغيت ناكل غير كورنيشو.,"Im not sure, I cant stand the smell of food. I just want to eat pickles."
تلتميا و خمسين دولار؟ راه كتر من طاقتي.,Three hundred and fifty dollars? Thats beyond my means.
را واقيلا كاين شي خطأ ف لحساب.,It seems there might be an error in the calculation.
بغيت ندير السكي شي سيمانا. واش عندكم شي رحلات ديال السكي؟,I want to go skiing for a week. Do you have any ski trips?
كالعبو جوج د السانفونييات ديال موزار.,They played two symphonies by Mozart.
غادي نبقاو نقلبو وغي نلقاه، غادي نعلموك.,"We will keep searching, and once we find it, we will let you know."
ليوما الجو ولاهيلا زوين.,"Today, the weather is really nice."
جوج د الناس كبار و جوج ديال دراري سغار قل من طناش لعام، عفاك.,"Two adults and two kids under twelve years old, please."
يالاه قناعني.,Convince me.
بغيت شي سيدي ديال هاد لاباراي ديال تساور، عفاك.,"I want a CD for this camera, please."
ماعندنا تاشي عيد ديني.,We dont have any religious holiday.
شحال نقدر ندي معايا دل الباغاج؟,How much luggage can I take with me?
واش خاصنا نديرو عليه التصويت؟ حيت ايلا ماكنش را مكنضنش بلي وصلنا ل شي خلاصة، نقدرو نعطيوها ل مجلس الإدارة ديالنا من غدا في الصباح.,"Do we need to vote on it? Because if not, I dont think weve reached any conclusion that we can present to our board of directors by tomorrow morning."
ولاكن ماخدامش.,But it’s not working.
واخا نشوف هاد الصاك، عفاك؟,"Can I see this bag, please?"
واواو، شحال عندي د الزهر، باقين غاعما دوزوه ف اليابان.,"Wow, Im so lucky, they still havent shown it in Japan."
خلصت تلتميا و عشرين دولار فل المحال المعفي من الرسوم الجمركية.,I paid three hundred and twenty dollars at the dutyfree shop.
تقدر توصل ل هاد الستيلو لي تحت الكورسي؟,Can you reach this pen under the chair?
غادي نخلص حتا على صحابي.,I will pay even for my friends.
معرفتيش واش كاينين شي هميزات ديال شي وطيلات رخاص؟,I dont know if there are any good deals on cheap hotels?
را كان خاصني ربعسنين أولا خمسنين باش نقدر نجي هنايا.,I needed forty or fifty years to be able to come here.
شحال كاسوا الين ب الدولار الميريكاني؟,How much is the dollar worth in American dollars?
واخا تعطيني نص رطل ديال شلاضة ديال القيمرون؟,Can you give me half a pound of shrimp salad?
كاينا شي قهوة ولا ريصطورا ف هاد المبنى؟,Is there a café or restaurant in this building?
واه، غالي بيزاف.,"Wow, very expensive."
التران السريع كاين ف السكة تمنية.,The highspeed train is on track eight.
راني زربان هاد الساعة.,Im in a hurry right now.
عاودها لمخك.,Repeat it in your mind.
انا السوزوكي.,I am the Suzuki.
طاحت ليا مغانتي ملي كنت خارج.,I lost my lighter when I was outside.
إيلا مشيت ف الطوبيس شحال ندير د الوقت؟,"If I take the bus, how long will it take?"
صافي، را الشومبر ديالك مريزيرفيا.,"Alright, your room is reserved."
الجعبة راها مخنوقة بالغبرا.,The bag is choked with dust.
إيوا، هادا هوا الوقت باش نمشيو.,"Well, this is the time to go."
السلام، انا جاي ف الطريق باش نهزك معايا، من هنا ل شي ربوع ساعة نتلاقاو.,"Hello, Im on my way to pick you up, well meet in about 15 minutes."
صباح الخير. نعستي مزيان؟,Good morning. Did you sleep well?
واش ريزيرفيتي من قبل؟,Did you book in advance?
شنو كنتي باغي الدير ملي تسالي لقرايا؟,What did you want to do after finishing school?
شفرو لييا صاكي ف الزنقة.,They stole my bag in the street.
واش طلبتي شي حاجا خرا من غير الفطور هاد الصباح؟,Did you ask for anything else besides breakfast this morning?
غادي ندير شي تسافيرا صغيرة لميكسيك.,I’m going to take a small trip to Mexico.
إينا إيطاج كانين حوايج لعيالات؟,Which floor are the womens clothes on?
واخا تعطيني شي وريقة باش نبدل؟,Can you give me a paper to exchange?
لقنانب مستعملينهم.,We used them.
مال هاد السربيس عندكوم هاكا تقيل؟,Why is this service so slow?
شوف لتحت.,Look down.
كاين كترت مايتعزل حتا مابقيت عارف شنو نختار.,There are too many options that I cant even decide what to choose.
كيفاش نقدر نعيط؟,How can I call?
لا، بغيت شي جين و شي أونسونبل ب السروال.,"No, I want a jean and a suitable top with the pants."
عندنا لي طاي.,We have tea.
غلطت ف الطوبيس. واش ممكن نبدل؟,I got on the wrong bus. Can I switch?
ماعرفتش.,I dont know.
منين نقدر ناخد الطوبيس ديال بيفيرلي هيل؟,Where can I take the Beverly Hills bus?
نتلاقاو ف البيت عندي.,Well meet at my place.
عندك شي كينا د الراس؟,Do you have any headache medicine?
شكوناهوما الشريكات لاخرين للي خدامين لي وازرين؟,Who are the other partner companies that are supporting?
دير داكشي للي كاتقول و قول داكشي لي كادير.,Do what you say and say what you do.
كاين شي كار ديال التوريست؟,Is there a tourist bus?
عفاك، غي حيد بوزرووغ من الكوموند ديالنا. را غالي بيزاف.,"Please, just remove the sea urchin from our order. Its too expensive."
غادي نخلص ليك تلتميات دولار بشيكات سياحية.,I will pay you three hundred dollars with traveler’s checks.
فيلي مسكين بدا كايبكي ملي عرف شنو كاين.,Philly started crying when he realized what was happening.
بغيت شي قهوا ب لحليب، عفاك.,"I want a coffee with milk, please."
غادي نسافر ل نيويورك، شيكاغو، ونيو أورليانز حتا لوس الأنجلوس.,"I will travel to New York, Chicago, New Orleans, and Los Angeles."
فيك كاين لفارماسيان؟,Where is the pharmacy?
واخا. واش أوطيل شيراطون كاين غي هنايا؟,Okay. Is the Sheraton Hotel only located here?
كانتمنى ماتكونش عييان بزاف.,I hope youre not too tired.
وريني نشوف لورقا ديال لومباركومو.,Show me the Lombarcomo paper.
بلاما تخليني نمشي، عفاك.,"Dont let me go, please."
أوف، مكنضنش خاصني نوصل هاد التفكير.,"Phew, I dont think I should reach this line of thinking."
غي لما صخون.,Just warm water.
داكشي غادي مزيان. واخا نضرب شي طليلا، عفاك؟,"Everything is going well. Can I take a quick look, please?"
عفاك، بغيت كاوكاو.,"Please, I want peanuts."
غادي تمشي نهار عشرين ف شهر ربعة أو غادي ترجع نهار واحدو عشرين، صافي مزيان؟,"You will leave on the 20th of April and return on the 21st, is that fine?"
واخا تبدل لييا من الدولار الموريكاني للجنيه البريطاني؟,Can you exchange for me from US dollars to British pounds?
واش بريتي اللحم أولا الدجاج؟,Do you prefer meat or chicken?
بغيت نتعشا ب ل الماكلا ديال الشينوا.,I want to have Chinese food for dinner.
شي وطيل زوين تنصحني بيه؟,Can you recommend a good hotel?
بغيت نكري شي طوموبيل من هاد النوع ل يوماين.,I want to rent a car of this type for two days.
غرصون، واخا تجيب لحساب، عفاك؟,"Waiter, can you bring the bill, please?"
عاود رجع عندنا، عفاك.,"Come back to us, please."
فييا شوييا د الصخانة. عندك شي حاجة كاتهبطها؟,Im feeling a bit hot. Do you have something to cool it down?
غدي ناخود شي جاك دانييل.,I’m going to get some Jack Daniel’s.
واحد لغليا، عفاك.,"One lighter, please."
"""شي تيكي ل """"بورد""""، عفاك.""","""A ticket to Bordeaux, please."""
كاينا. تقول غي شجر ديال بصح كبار. الناس عزيز عليهوم هاد الطبيعة.,Its there. They say its just real big trees. People love this nature.
غادي نقدمك ج الطبيب د لعائلة.,I will introduce you to the family doctor.
ماعمرني مامشيت ل شي بلاصة زوينا فحال بوستون.,I’ve never been to a beautiful place like Boston.
نسيت شي حاجة ف لبيت. واخا نرجع نقلب؟,I forgot something in the room. Should I go back and look?
واخا نخلص بشيكات سياحية؟,Can I pay with traveler’s checks?
طاحت لييا واحد لعصا ديال سكي.,I dropped a ski pole.
واع مابغتش دخل لييا ل راسسي بلي هنا ماميكنش نكمي فيها. لعداب صراحا.,"I cant seem to accept that I cant smoke here. Honestly, its torture."
بغيت نكري شي طوموبيل صغير.,I want to rent a small car.
هاد لبيت بارد.,This house is cold.
واخا تعطيني لبلان ديال البيستات؟,Can you give me the plan for the tracks?
مغادي نجيبو تاشي كادو. بلاصتو الناس كايعطيو لفلوس.,"We wont bring any gift. Instead, people give money."
واخا توقف هنايا، قدام هاد الفيترينا؟,"Okay, stop here, in front of this display window?"
بغيت نصيفطو ب البريد البري اولا البحري.,I want to send it by air mail or sea mail.
واخا توريني فين نقدر نصرف هاد لفلوس؟,Can you show me where I can spend this money?
إيلا نقصتي ليا مزال شي شوييا، نشريه.,"If you lower the price a bit more, Ill buy it."
كادير فيه بزاف د لملحا.,It has too much salt.
مكاينش بحالك. شوكرا.,Theres no one like you. Thank you.
ب خمسين دولار؟,For fifty dollars?
الريطورو كاين لتحت و كايحل معا لخمسا و نص د لعشييا.,The return is downstairs and opens at 5:30 PM.
سمحلييا. واخا توريني منين ندوز باش نمشي لوطيل ديال فيرمونت؟,Excuse me. Can you show me the way to get to the Fairmont Hotel?
شحال من كارطونا د لحليب كاتشري ف السيمانا؟,How many cartons of milk do you buy in a week?
هاد الطاكسي خاوي؟,Is this taxi empty?
ف ميريكان، إينا نمرا خاصني ندير إيلا بغيت نعيط لخاريج؟,"In America, what number should I dial if I want to call abroad?"
واخا تعاود تشرح لييا؟,Can you explain it to me again?
معاياش كاتحل لبانكا؟,Do you know when the bank opens?
واخا تبدل لييا نهار ل فول من لوندون ل طوكيو؟,What if you change my day from London to Tokyo?
باقي خاصني تلاتة د الدولارات.,I still need three dollars.
فيناهوما داكشي لي لقيتي، عفاك.,"Where is the stuff you found, please?"
كانلعبوالرياضة حدا لبحر باش نبدلو لجاو شوييا.,We play sports by the beach to change the atmosphere a bit.
الديارة دايرا الروطار حيت كاينة شي عاصفة ديال التلج.,The plane is delayed because of a snowstorm.
واخا نخلص غي لفرق ديال ال بيييي ديالي؟,Can I just pay the difference for my ticket?
نعام، هييا انا. علاش كاتسولني على هادشي؟,"Yes, its me. Why are you asking me about this?"
صيفطو روكوموندي، عفاك.,"Send the recommendation, please."
ف اليابان، كاياكلو غي الروز.,"In Japan, they only eat rice."
خاصنا نقصو من المصروف.,We need to cut down on expenses.
آو، بغينا شي قرعا د الروج.,"Yes, we want a bottle of wine."
ها، لا. مزيان. غي هادشي للي عندك؟ واخا.,"Here, no. Good. Is this all you have? Okay."
بغينا شي طابلا قريبا ل الشرجم.,We want a table near the window.
باش تمشي ل واحد المؤتمر.,To attend a conference.
معاك الشومبر حضاش جوج. واخا تجيب لييا شي بيرات؟,Do you have room 12? Can you bring me some beers?
أوو، لهلا يخطيك. غادي نقيس هادشي.,"Oh, may God bless you. I will check this."
فهمت، كاينين ريسطورات زوينين. كاين الناس لي كايجيبو ليهم الشاريو، و كاينين لي كايوصلو ليهم لغدا لبيرو. ولايني من لخر مكنضيعوش لوقت ف لغدا.,"I understand, there are nice restaurants. Some people get their food delivered by cart, and others have lunch delivered to their office. But in the end, we dont waste time on lunch."
دوز لموضوع للي موراه.,Move to the next topic.
واقيلا ديك لماكلا لي ماطايباش للي كلينا ف صباح ماشي تال لهيه.,Maybe that food we ate in the morning wasnt fully cooked.
وخا تشوف إيلا عندك شي دوا ديال الدوخا ت عطيه ليه، عفاك؟,"Okay, see if you have any medicine for dizziness and give it to him, please?"
معرفتش كيفاش غادي نشرح ليك ب لونغلي.,I dont know how to explain it to you in English.
لحساب، عفاك.,"The bill, please."
غي باش نضحكو و صافي.,Just for laughs.
واخا توصل لميصاج معاك، عفاك؟,"Alright, did you receive the message, please?"
خديتيه من التلاجة؟,Did you take it from the fridge?
واش نقدر ناخد لباغاج ديالي؟,Can I take my luggage?
ولا عندي لخروج ب الدم.,I have bleeding.
سمحلييا، والايني منقدرش نتبع معاك.,"Sorry, but I cant keep up with you."
مكرهناكش تمشي معانا، إيلا مكان عندك تاشي مشكل.,"Theres no problem if you come with us, as long as you dont have any issues."
نعاونك، آ لالا؟,"Can I help you, maam?"
اه، ف الرسطورو و الشوايا.,"Ah, at the restaurant and the grills."
سميتي يوكيو أوكا، رحلة نيميرو مياو خمساوعشرين ل ناريطا نهار ربعطاش غشت.,"My name is Yukio Oka, flight number MIAO 25 to Narita on August 14th."
بغيت شي تدكار لولدي.,I want a souvenir for my son
باينا فيهوم لاباس عليهوم. و هاكاك و كايتشطرو معاه باش يهاباط ليهوم ف التمن.,"Its clear theyre doing well. And yet, theyre bargaining with him to lower the price for them."
سمحلييا، ولاكن را مقدرتش نتبع معاك. واخا تهدر غي بشوييا، عفاك؟,"Sorry, but I couldnt keep up with you. Can you please speak more slowly?"
الجنيه كايساوي جوج د الدولار، ياك؟,"The pound is worth two dollars, right?"
واش يقدر يعاونك شي حد آخور ف هادشي؟,Can someone else help you with this?
لموهيم، قبل متمشي، كيجاك بعدا اليابان؟,"Anyway, before you leave, how do you find Japan?"
عفاك، ايمتاش غادي يوجدو تصاوري؟,"Please, when will my photos be ready?"
كانهدر معا مارفين دورفلير. ندوزو ليك؟,Im talking to Marvin Dorfler. Should I pass you through?
شنو بغيتي نوريك؟,What do you want me to show you?
راني عطيتك ميات دولار.,I gave you a hundred dollars.
ايوا آش بانليك ف هاد لموشكيل، اآ السي جورج؟ وا خا تشرح كتر لصحابك ف القسم؟,"So, what do you think about this problem, Mr. George? Can you explain it more to your classmates?"
ف هاد لحالة، ماعندك ماتعمر.,"In this case, theres nothing you can do."
واخا نحل الصمطا؟,Should I open the bag?
انا جاي من كولورادو. و نتا منينا بلاصا ف اليابان جيتي؟,"I am coming from Colorado. And you, which place in Japan are you from?"
حاجا بانيا. كنا مشغولين بزاف لبارح، ولايني ليوما الدنيا كاتصفر. ايمتاش غادي تقلع طيالتك؟,"A clear day. We were very busy yesterday, but today its calm. When will your flight take off?"
وخا نصور؟,Can I record?
خلصت بلفلوس نيشان عندهم.,I paid them directly in cash.
عيط لمودير.,Call the manager.
فين غادي نتلاقاو؟,Where will we meet?
شنو غلتي، عفاك.,"What is my mistake, please?"
بغيت لكارطا.,I want the card.
بشحال كاتصيفط ل اليابان؟,How much does it cost to send to Japan?
ف لميا.,In Lamia.
صاحبي جاتو كريز د الديقة.,My friend had a panic attack.
واجد لعشا؟ فييا لموت د الجوع. واخا تحط ليا ناكل؟,"""Is dinner ready? Im starving. Can you serve me some food?"""
واخا تصاوب لييا شي اطيسطاسيو ديال السفر؟,Can you prepare a travel itinerary for me?
ديرو ف الصاك لي قهوي.,Put it in the brown bag.
ولله ماقضرت نختار.,I swear I couldnt choose.
لقنطا من نهار جيت.,I’ve been fed up since the day I arrived.
كيفاش غادي ندير ليه؟,How am I going to do it?
طاح لييا البزطام والساروت ديال الشومبر ف لبحر.,I dropped my wallet and the room key in the sea.
رحلة رقم اتش بي تسعود و تسعين ل اليابان نهار حضاش مارس.,Flight number HP 99 to Japan on March 11th.
واخا تجيب لييا فحال هاد لماكلا؟,Can you bring me food like this?
جاين هنايا دوزو شهر العسل؟,Are you here to spend your honeymoon?
غادي نديه معايا. زيد معاك شي فرشيطا ف الميكا؟,Im going to take it with me. Did you bring a fork in the bag?
واخا نخيمو ف الأرض ديالك؟,Can we camp on your land?
ايلا طرات شي حاجا. عيط لييا.,"If something happens, call me."
عندك شي وحدا خرا؟,Do you have another one?
سباغا ماط، عفاك.,"Matte paint, please."
جيب لييا لفطور ل شومبر غدا معا السبعة د الصباح.,Bring me breakfast to the room tomorrow at 7 in the morning.
شحال من مرة؟,How many times?
بغيت نصيفط هاد لبرييا روكومندي.,I want to send this letter as registered mail.
غادي نديرو شي نص ساعة د الروطار. غي خلي التسجيل لمن بعد عفاك.,"We will be about half an hour late. Just leave the recording for later, please."
بغيت نبدل السوميلا و الطالون، عفاك.,"I want to change the sole and the heel, please."
عفاك، فين جات لا غار؟,"Please, where is the train station?"
اش بان ليك، غادي نحتاج ل شي غيد؟,"What do you think, will I need a guide?"
اش بان ليك زعما نوصل ل كونصير معا ستا؟,"What do you think, should I make it to the concert with Sta?"
لا سمح لييا، ولايني خاصو يبقا عندنا.,"Sorry, but it needs to stay with us."
بغيت شي فار ء بوبيير.,I want some paper.
نطلب لفطور دابا؟,Shall we order breakfast now?
شوييا و يجي عندك السيد ديال المانطونونس.,"In a bit, the maintenance guy will come to you."
سمحلييا. تال من بعد او نرجع.,"Sorry. Maybe later, Ill come back."
راني قبيلا خلصت ملي شريت البييي.,I already paid earlier when I bought the ticket
اه، تقدر. والايني غي بشوييا.,"Yes, you can. But just slowly."
ايمتاش غادي تبداو تبيعو بلا رسوم جمركية؟,When will you start selling without customs duties?
