Darija (Arabic),English
كيجري هوا والسربايا قبل متشبك وكن شبكات كن زلت على مو بالكاس للراس حتى يطوش,"He runs with the gang before getting caught, and if caught, he would have poured the glass on his head until he passed out."
دمو ... مايحتارمو لا اللي جالسة مع راجلها ولا خوها ولا باها ... كينوضو الصدع,"His behavior... They don't respect either the woman sitting with her husband, her brother, or her father... They cause trouble."
تا كيصدق واحد غادي لسبيطار واحد غادي للحبس .. زين الدين كل مرة كيقرب وبصوتو,"One ends up in the hospital, another in prison... Zine Eddine gets closer each time with his voice."
القوي كيزعف ناوي يسلخو عصى ومول القهوى كيعتاذر زين الدين : ماتجيش تقول ليا محسابليش,"The strong one gets angry, ready to beat him with a stick, and the café owner apologizes. Zinedine: Don't come and tell me I didn't calculate it."
ونتا كتشوف جوج كيسان فالطبلة وجاي حاط حداهم ورقة مول القهوى : سمحو لينا ..,"And you see two glasses on the table with a note from the café owner: ""Sorry..."""
سمحو لينا على هادشي الولد : وماحسابش ليا ... متيجيش يهز عليا يدو زين الدين,"""Sorry for this, the boy: I didn't expect it... Zinedine better not raise his hand against me."""
: سير فحالك راه غندير فيك شرع يدي ... ماتهز تا تسرفيقة راه غنشيع فيك,": Go away, or I'll take matters into my own hands... Don't even try to raise a hand, or I'll deal with you."
عصا ... البراهش تفوو هبطو داك الولد كيغوت سمع عندنا القهوى كاملة .. اما زين,"Stick ... the kids, ugh, they brought that boy down screaming, the whole café heard us ... but handsome."
الدين لاح التيليفون على الطبلة بعصيبة وجلس على الكرسي ساخط ماعجبوش الحال ... رجعت جلست,"He threw the phone on the table angrily and sat on the chair, upset... I sat back down."
حداه شوية وهوا ينوض هز التيليفون والسورات وقاليا بنرفزة زين الدين : يالاه نتحركو من,"Next to him for a bit, he got up, grabbed the phone and the keys, and said to me irritably, Zinedine: ""Let's get moving."""
هنا نضت هزيت صاكي حتى انا ماعاجبنيش الحال بحالو وخرجت قدامو فالقهوى هازة راسي وهوا,"Here, I got up, grabbed my bag, not liking the situation either, and walked out in front of him at the café with my head held high, while he..."
مورايا بحال الكارد ديالي طالع ليه الخز مسبقني ديما قدامو .. فتح ليا الباب ديال,"Behind me, like my card, always ahead of me... He opened the door for me."
الطوموبيل وقالي زين الدين طلعي صوفيا : غنخلي طوموبيلتي هنا؟ زين الدين : خليها دابا,"The car  
Zinedine: Get in, Sofia.  
Sofia: Should I leave my car here?  
Zinedine: Leave it for now."
نرجعو ليها طلعت وسد عليا الباب وركب حدايا غادي وكينكر زين الدين : شتي البراهش,"Let's go back to her, she got in, closed the door on me, and sat next to me, going and denying it. Zine Eddine: ""Did you see the kids?"""
... غير اللي يشدهم يرميهم فشي فران بحال اللي دار هتلر ... بسالة يخخ صوفيا,"... just like Hitler did ... nonsense, yuck, Sophia."
: فين ما مشيتي هاكا ... ميحتارمو لا اللي مع باها ولا اللي مع خوها,Wherever she goes like this... they respect neither her father nor her brother.
ولا اللي مع راجلها قلت هاد راجلها وعجباااتني تخيليت راسي مزوجة بيه وقلب الدنيا عليا,"Even the one with her husband, I said this is her husband, and I liked him, I imagined myself married to him, and it turned my world upside down."
.. اما هوا مادا متجاب فيها حيت كاعي ومابغانش دوز ليه صوفيا : صافي دابا,".. But he didn't respond because he was upset and didn't want to deal with Sofia: ""That's enough now."""
اللي عطا الله عطاه ... كيوقع هادشي زين الدين : لا مكاينش كيوقع ... هادشي,"What God has given, He has given... This happens, Zinedine: No, it doesn't happen... This happens."
ماخاصوش يوقع واللي بسل على شي وحدة مع باها ولاخوها ولا راجلها خصو العصى صوفيا,"It shouldn't happen, and whoever disrespects a woman with her father, brother, or husband deserves punishment, Sofia."
: كن كانت كل وحدة كيبسل عليها شي واحد وجابت ليه باها ولا خوها كاع,If every girl brought her father or brother to confront someone bothering her.
ميبقاو يزعمو زين الدين : وراه تسيفط خوها للحبس ولا باها هادا هوا المشكل ...,"They keep blaming Zinedine: but she sent her brother or her father to prison, that's the problem..."
يمشي يوفت فيه شي دقة يقتلو ويصدق غادي فيها جنايات ... هاداك البرهوش كن ماناضو,"He goes and gets into trouble, kills someone, and ends up with criminal charges... That reckless kid, if they hadn't intervened."
فكوه تا كنت غنلسق والديه مع الحيط متيعاودش يهز الراس قوحدة اخرى ... ساعا عندو,"""Let him go, or I was about to pin his parents to the wall so he wouldn't dare raise his head again... he’s got guts."""
الزهر خرجوه اما كن زطمت فيه يالاه خرجي منها اصوفيا ... غير زايدة وكطيحي فيه,"Luck favored him, but if I had ignored it, it would have been better. Just leave it, Sofia... you're only making it worse and blaming him."
... فعوض متيكرهك فيه كيزيد يطيحك ... عجبني الصراحة ... كيعجبني الراجل اللي قاصح وصعيب,"""... Instead of making you hate him, he makes you fall for him more ... I honestly liked it ... I like a man who is tough and challenging."""
... واخا يقتلني عصى يعجبني الحال ... وجهي وجه العصى .. ماعندي ماندير انا هادا,"... Even if he beats me, I like it ... My face is used to the stick ... There's nothing I can do, that's who I am."
هوا النوع اللي كنحماق عليه ... اللي يخرج عينيه ويرجع سبع كلشي يخاف منو ويدير,"He’s the type I’m crazy about... the one who gets fierce, turns into a lion, and everyone fears and obeys him."
ليك اعتبار .. واخا يضربني انا هانيا غير ميهرسنيش مشينا لقهوى اخرى جلسنا فيها وبقينا,"You have respect... even if he hits me, I’m fine, just don’t break me. We went to another café, sat there, and stayed."
شوف فيا ونشوف فيك اطاجين الحوت .. نسينا شنو طرى وجلست كنتسناه يجبد ليا الهضرة,"Look at me, and I look at you, the fish tagine... We forgot what happened, and I sat waiting for him to start the conversation."
ساعة مجبدهاش ... جبد غير كارو شعلو وتقلب جنب حتل رجليه باش ميسوطش عليا ..,"An hour without taking it out... he just took out a cigarette, lit it, and turned to the side near his feet so he wouldn't bother me."
سكت حتى عيت كنعصر فواحد كاس داليمون وانا نقول ليه صوفيا : ماقلتيش ليا علاش,"I stayed silent until I got tired of squeezing a glass of lemon, and I said to him, ""Sophia, you didn’t tell me why."""
بغيتيني شاف فيا وطلع حاجبو وابتاسم زين الدين : بغيت نشوفك ... صوفيا : ابتاسمت,"Zinedine: I want to see you...  
Sophia: She smiled."
حشمانة هانتا شفتيني ! شنو مزال زين الدين : وراكي عارفة زعما قلبت وجهي شادة,"Embarrassed, you saw me! What else, Zine Eddine: you know, I mean, I turned red, holding back."
الضحكة : لا معارفاش خفت ندير راسي فهمت ونمشي فالغلط .. يكون هوا كيمعني ليا,The smile: I was afraid to act like I understood and make a mistake... maybe he meant it for me.
على حاجة وانا مشا عقلي بعيد .. خلي نحطو النقط على الحروف بعدا تقلب جيهتي,"About something, my mind wandered far... Let’s clarify things first before I lose my temper."
كيضحك وقال وكيلحن الهضرة ويمعني عليا زين الدين : انا طحت فبحر غرااامها .. من,"He laughs and says, emphasizing his words and addressing me, Zinedine: ""I fell into the sea of her love..."""
يووم شفت عيوونها دورت وجهي شادة الضحكة وهوا كيدندن ويشوف فيا .. ربعت يدي خليتو,"The day I saw her eyes, I turned my face, holding back a laugh, while he was humming and looking at me... I crossed my arms and left him."
حتى سكت وانا ندور شفت فيه وقلت صوفيا : دابا الى سولاتني ماما وقالت ليا,"Until he went silent and I turned, I looked at him and said, ""Sophia, now if Mama asks me and says to me..."""
فين تعطلتي .. نقول ليها كنت مع زين الدين حبيب سارة عاادية؟ ماهضرش وبقا كما,"""Where were you late... Should I tell her I was with Zine Eddine, Sara's boyfriend, casually? He stayed silent and remained the same."""
هوا كيشوف فيا ... بحال الة عاجبو نهضر ويتسنط ليا صوفيا : غتسولني علاش ؟,He looks at me... as if he likes me to talk and listens to me. Sophia: Will you ask me why?
شنو غنقول ليها ؟ تبسم وقال بصوت تقيل : ونتي مزااالة صغيرة يتبعوك فين كنتي,"What should I tell her? He smiled and said in a deep voice: ""You're still young, they'll follow you wherever you go."""
وفين مكنتيش؟ جاوبت ببرودة : وعلاش ... شفتيني شرفت ! واخا نشرف كنبقى فعينين واليديا,"""And where were you?"" She replied coldly: ""And why... do you think I’ve aged? Even if I age, I’ll still remain sharp and capable."""
صغيرة ومن خقهم يخافو عليا زين الدين : حرك راسو بالايجاب ) امممم .... وشحال,"Small, and it's their right to worry about me. Zinedine: (Nods in agreement) Hmm... and how much?"
فعمرك؟ صوفيا : ايوا شوف نتا اللي شرفتيني زيم الدين : لا مشرفتكش ... غير,"How old are you?  
Sophia: Well, you’re the one who honored me.  
Zim Eddine: No, I didn’t honor you... just..."
قلت زعما ماشي مراهقة يتبعوك .. راك بعقلك زعما صوفيا : لا .. انا بعدا,"I said, like, not teenagers following you.. you're mature, like Sofia: No.. not me."
جيتيني بحال الى كبرتيني قبل الوقت ... ماعرفتش واش حتى لهاد الدرجة باينة فيا !,You made me feel like I aged before my time... I don't know if it's that obvious!
زين الدين : تقدر تمون عندك ديك 30 .. 31 هاكاك تخلعت وطلعت حاجبي وقلت,"Zinedine: Can you lend me around 30.. 31 like that? I got startled, raised my eyebrows, and said..."
ليه : حتى نتا .. تكون عندك ديك ستين هااكا خلي عينيه كيضحك : ههههه,Why: Even you... will have that sixty like this (while pointing to his eyes laughing): hahaha
... كااع ! ! ! صوفيا : داكشي اللي بان ليا زين الدين : هه,"... Really!  
Sophia: That's what I thought.  
Zinedine: Haha."
! ! ! بزااااف ... مزااال بعيد على داك لاج ... يالاه 45 اااااصوفيا نعلي,"A lot ... still far from that goal ... just 45 Sophia, keep going."
الشيطان شديت الضحكة : امم .. ايوا اللي شافك يعطيك ستين عام الله يمسخني ...,"The devil made me laugh: Hmm... Well, whoever sees you would think you're sixty years old, may God disgrace me..."
هوا فورمتو بحال بدر هاري صح من الحديد ووجهو مافيه حتى تكميشة وانا جالسة نكدب,"He is built like Badr Hari, really strong, with a flawless face, and here I am lying."
ليه وسط وجهو ... سرو .. باش ميشوفش راسو عليا ... وهوا اللي شرفني دار,He turned his face away... embarrassed... so he wouldn't look at me... and he's the one who honored me by coming to my house.
ليا الاحباط زين الدين : وا هضري ... شحال فعمرك صوفيا : ايوا سيدي مللي,"Lia: Frustration  
Zinedine: Speak...  
How old are you?  
Sophia: Well, sir, since..."
عطيتي 30 31 مابقا مايتقال ... راك وفيتي معايا شكرا زين الدين : انا قدرت,"You gave 30, 31, there's nothing left to say... You fulfilled your promise to me, thank you. Zinedine: I did it."
حسب ماشافت عيني . هبطت راسي وهزيت واحد العين وقلت ليه صوفيا : ايوا راه,"According to what I saw. I lowered my head, raised an eye, and said to him, ""Sophia: Well, it's..."""
حتى 27 عام مزال مكملتها .. ويلاااه طالعة فيها ... متخلعكش فورمتي اللي وافية وطويلة,"Not yet 27 years old... and wow, she's full of herself... don't be intimidated by her complete and tall figure."
راه باااقا صغير السرورات عليا بدا كيضحك ويقلب فوجو ورجع شاف فيا وقال زين الدين,"He’s still young, he smiled at me, turned his face, looked back at me, and said Zinedine."
: باااقا صغيرة ! ! ! قلبت وجهي مارضياش : ايوا لعحب ... اول مرة,"Still young! Turned her face away, not pleased: Well, as you like... first time."
يعطيني شي واحد 30 عام ! ... كلشي كيعطيني قل بدا كيلطف معايا شفتو حس,"Someone give me 30 years! ... Everyone gives me less, then they start being kind to me when they see how I feel."
بيا تقلقت وقاليا زين الدين : فوجهك اه ... ولاكن الهيئة ديالك كتقول حاجة اخرى,"I got upset, and Zinedine told me: ""Your face says yes... but your body language says something else."""
صوفيا : ايوا الحمد لله ... وئام الدحماني اللي فايتة الثلاتينات ومشرفوهاش .. جيتي حتى,"Sophia: Well, thank God... Wiam Al-Dahmani, who is past her thirties and doesn't show it... You came until..."
لعندي بانت ليك فصالتي بحالها وشرفيني زين الدين : شكون وئام صوفيا : مغنية زين,"Zineddine: Who is Wiam?  
Sophia: A singer."
الدين : معرفتهاش .. انا قدرت وصافي متقلقيش ... وحتى نتي مللي عطيتيني 60 عام,"Religion: I don't know it... I just did it, so don't be upset... and even you, when you gave me 60 years."
راه تهليتي فيا وبزااف شفت فيه بنص عين وقلت ليه صوفيا : ايوا حيت يمكن,"""You took care of me a lot.""  
""I looked at him sideways and told him, Sofia: Well, maybe."""
مزوج داكشي علاش بانت فيك دغيا بلعاني دخلت ليه الزواج فالقضية نشوفو اش غيقول عليه,"Married, that's why it showed on you quickly; intentionally, you brought marriage into the matter—let's see what he will say about it."
... ساعة شمع الضحكة وهلا اثارها على وجهو وهبط عينو كيقرقب بالمعلقة وقالي ليا يتبع,"... An hour passed, the smile faded, and its traces disappeared from his face. He lowered his eyes, stirring with the spoon, and told me to follow."
[ ضحك بسخرية وهز عينو فيا : علاش الزواج كيشرف ! صوفيا : و نتا,"He laughed sarcastically and looked at me: ""Why is marriage honorable?""  
Sophia: ""And you?"""
شنو بغيتي مني؟ زين الدين : غنظير فيها مراهق فالعشرينات ونقول ليك ... عجبتيني !,What do you want from me? Zinedine: I'll act like a teenager in his twenties and tell you... I like you!
حيت فعلا عجبتيني ... يقدر مابقاتش مسألة اعجاب وصافي ... حيت هاد المدة كاملة وعقلي,Because I really liked you... it might no longer be just a matter of admiration... because all this time my mind...
معاك اصوفيا .. وكنهضر معاك بحال كنعرفك ماشي عاد غنتعرف عليك شفت فيه وصابرة لقلبي,"With you, Sofia... and I'm talking to you as if I know you, not just getting to know you. I looked at him and stayed patient with my heart."
اللي كيضرني وقلت ليه صوفيا : وشنو اللي خلاك تجي دابا تقول ليا هادشي زين,"What hurts me, and I told him, Sofia: ""And what made you come now to tell me this is good?"""
الدين : حيت عارف غتموني دابا عرفتي باللي مزوج وعندي ولد . . . منحتاجش,Religion: Because you know now that I'm married and have a child... I don't need to.
عاد نقولها ليك انا ... حست صعيبة عليا نجي نقولها ليك ... وخايف ترفضي شفت,"I’ll just say it to you... I feel it’s hard for me to come and tell you... and I’m afraid you’ll reject me, you see?"
فيه والحزن مالي عيني : شنو اللي غنرفض تنهد وقرب من الطبلة : ضاروري نفسر,Sadness fills my eyes.
ليك كلشي؟ صوفيا : اه ... حيت ماعارفاش لاياش بغيتي توصل هبك راسو فحيرة ورجع,"""What's wrong with you?""  
Sophia: ""Yeah... because I don't know what you're trying to say.""  
He nodded in confusion and turned back."
شافيا وقال : كنقول ليك مامرتاحش .. من نهار شفتك وبالي معاك ... وفكل مرة,"He saw her and said: ""I'm telling you, I'm not at ease... Since the day I saw you, my mind is with you... every single time."""
كنبغي نهضر معاك فيها كنتراجع .. حيت اول حاجة غنقولها ليك هي مزوج وعندي ولد,I want to talk to you about it because the first thing I’ll tell you is that I’m married and have a child.
عندو عماين ... ولاكن ماشي ختاريت انا هادشي ... صبحت الصباح على وجهك كنفكر فيك,He has issues... but it's not something I chose... I woke up this morning thinking about you.
. . . ورجعت كل صباح كنصبح على صورتك ... اشنو كتفسري هادشي؟ نكون واقعيين,... And every morning I wake up to your picture ... How do you explain this? Let's be realistic.
بلا منتخباو .. وحاس بيك حتى نتي بحالي قالبة وجهي كنشمع ليه وصدري كيتزير عليا,"Without pretending... I feel like you also feel the same, turning away from me, I listen to him, and my chest tightens."
.. حيت هادشي طريقو مسدود ومغنخرجو بحتى نتيجة .. من الغير الفضيحة وصافي .. مابغيتش,".. Because this path is blocked, and we won't achieve any result .. except for embarrassment, that's it .. I don't want to."
فضايح مع نسابنا .. مابغيتش نوسخ وجه واليديا اللي كيبغيوني .. ومابغيتش نشتت شمل خويا,Scandals with our in-laws... I don't want to tarnish the reputation of my parents who love me... and I don't want to break up my brother's family.
اللي تزوج بسبب المشاكل .. واهم حاجة مابغيتش ناخد دنوب داك الوليد هوا وامو ونسلبهم,"Whoever marries because of problems... and the most important thing is that I don't want to bear the sin of that child, him and his mother, and take away from them."
سعادتهم .. كما صعيب عليا نتقبل وحدة تاخد ليا راجلي ... واللي صعيب كتر دابا,Their happiness... It's hard for me to accept someone taking my husband... and what's even harder now.
هوا كفاش غنخرج راسي من هادشي ... يا اما نختار نعيش السعادة ونرضي قلبي ولاكن,How will I get myself out of this... either I choose to live happiness and satisfy my heart or...
غيجي نهار يتفضح السر ونخلص التمن غالي .. ياأما نخلصو دابا ونخلص خطأء رتاكبو قلبي,"The day will come when the secret is exposed, and I will pay a high price... Either I pay it now and bear the mistake my heart committed."
وبغا الشخص الخطأ ونصبر للاوجاع حتى يفرجها ربي ... حرت .. الحالتين بجوج صعاب عليا,"And he loved the wrong person, and I endure the pain until God brings relief... I'm torn... both situations are hard for me."
... شنو غندير وانا كنشوف ليه فعينيه وخوا كيتسنى جوابي ... ولاكن علاياش غنجاوب بعدا,"... What will I do as I look into his eyes, empty, waiting for my answer ... but why should I even answer?"
مزال متطرح عليا السؤال . بقيت ساكتة كنشوف فعينيه الخايفين من جوابي .. تنهد وقلت,"The question hasn't been asked yet. I stayed silent, looking into his eyes, which were afraid of my answer... I sighed and said."
صوفيا : معرفتش شنو بغيتي مني ازين الدين ... كتقول ليا كتفكر فيا و وديما,"Sophia: I don’t know what you want from me, beauty of the faith... You tell me you think of me and always..."
عقلك معايا ... و كتقول مزوج وعندك ولد ... يعني هادشي عندو تفسير واحد ...,Your mind is with me... and you say you're married and have a child... this only has one explanation...
هي نربطو علاقة سرية انا ونتا ومقبل بهادشي قرب من الطبلة شد ليا فيدي حتى,"Let's have a secret relationship, you and me, but before that, come closer to the table and hold my hand tightly."
حسيت بقلبي سخن وانا كنسمعو كيقول ليا زين الدين : انا كنبغيك اصوفيا ... متخيليش,"I felt my heart warm as I heard him say to me, Zinedine: ""I love you, Sophia... don't imagine."""
قداش ... عام تقريبا وانا كنقول غير نزوة .. ونهار على خوه كنحس براسي محتاج,"How much ... It's been almost a year, and I keep saying it's just a whim... but day after day, I feel like I need it."
نشوفك ونجلس معاك ونهضر انا وياك ... مامرتاحش اصوفيا فهميني جريت يدي بشوية وقلت ليه,"I see you, sit with you, and talk to you... I'm not comfortable, Sofia, understand me. I slowly pulled my hand away and told him."
: وشنو المطلوب مني؟ قلب وجهو كيسوط ورجع شاف فيا : واش مفهمتيش ولاكديري راسك,": And what do you want from me? He turned his face, whistled, and looked back at me: Did you not understand, or are you pretending?"
زعمت متفاهماش؟ ... انا كنقول ليك مامرتاحش .. يعني بغيت نكونو بجوج بجوووج كيقول بجوج,"You claim you don't understand? ... I'm telling you I'm not comfortable .. I mean I want us to be together, together, as they say together."
وكيبرك ليا عليا يدي بحال الى كيزطم ليا على قلبي .. تنهدت بأسى مابيدي حيلة,"""And he presses my hand as if he's crushing my heart... I sighed in sorrow, helpless."""
لدرجة بينت ليه ضعفي وحيرتي ... شي حاجة كتشدني ليه بزز مني وهي قوى مني,"To the extent that I showed him my weakness and confusion... something pulls me to him against my will, and it is stronger than me."
.. معنديش الطاقة نوواجها ... ختسة براسي كنتسرب وماقدراش نحبس نفسي .. شفت فيه بحزن,".. I don't have the energy to face her ... I locked myself in my head, feeling drained, unable to stop myself ... I looked at him with sadness."
ماكرهتش نكونو بجوج .. اكيد كنت غادي نكونو اسعد عشاق على وجه الارض .. ولاكن,"""I wish we could be together... Surely, we would have been the happiest lovers on earth... but"""
واش نرضى لنفسي تسعد ونسلب السعادة لوحدة اخرى ؟ واش ضميري غيكون مرتاح فاش يكون,Should I allow myself to be happy while taking happiness away from someone else? Would my conscience be at ease in such a case?
جالس حدايا كيغازلني وعندو وحدة فالدار كتسناه هوا ولدو ... شنو اللي معجبوش فيها شنو؟,"He's sitting next to me flirting, while he has someone at home waiting for him—his wife and child... What doesn't he like about her, what?"
شنو اللي خلاه يجي عندي انا؟ من غير الزين .. نخليو الزين جانبا ... نقولو,What made him come to me?
باغي فيا الزين وصافي .. ولاكن هوا ماشي برهوش يزعم على وحدة من العاءلة ...,"""He likes me, but he's not reckless enough to go for someone from the family."""
والزين فين ما مشا يلقاه يبعد على العاءلة ويعيش كي بغا ... ولاكن حتسة بيه,"Beauty, wherever it goes, finds it; distancing from family and living as it pleases... but it feels it."
جاي عندي بلا هواه .. بزز منو وبلهلى يطريه ليه وحتى هوا جابتو ديك الحاجة,"He's coming to me unwillingly... forced and absent-minded, and even he was brought by that thing."
اللي شاداني عندو وماقدراش نوقف فوجها ... تنهد بحال الى هازة جبل .. يدي فيدو,"What’s holding me back with him, and I can’t stand up to it... I sigh as if carrying a mountain... my hand in his."
شادها ومزير عليها كيشوف فيا بإصرار باش نوافق .. هبطت من الصرامة ديالي وتصرفت على,He held on firmly and looked at me insistently for me to agree... I softened my strictness and acted accordingly.
طبيعتي حيت واخا نتعالى حتى نعيا هوا حتس بيا وعايق بيا وفعينيه باينة . صوفيا,"My nature, because even if I pretend to be above it all until I'm exhausted, he notices me, is aware of me, and it's clear in his eyes. Sophia"
: نسولك ازين الدين وجاوبني بصراحة حرك راسو بالايجتب وصغر عينيه كيتسنى يسمع الجواب صوفيا,"I ask you, beautiful one, and answer me honestly."
: مالها مرتك ؟ علاش ماكرتاحش معاها رجع بسرعة تكى على ضهرو وطلق مني وقال,": What's wrong with your wife? Why aren't you comfortable with her? He quickly leaned back, rested on his back, and said to me:"
بانزعاج زين الدين : مامفاهمينش ... وحتى الراحة مكنلقاهاش فالدار .. نبقى برى كنتلف الوقت,"With frustration, Zinedine: ""We don't understand... and I can't even find peace at home... I stay outside wasting time."""
حسن مندخل عندها . استغربت وقلت : ومالها واش خايبة معاك؟ زين الدين : ماعرفتها,"Hassan: I'll go see her.  
I was surprised and said: What's wrong with her? Is she not good with you?  
Zine Eddine: I didn't recognize her."
خايبة ولا زوينة ... المهم شي حوايج مامرتاحش ليهم وتصرفاتها مكتعجبنيش ... مها حتى هي,"Ugly or beautiful ... the important thing is that there are some things I’m not comfortable with, and her behavior doesn’t please me ... her mother too."
كتزيدها للعافية ... هما من داك النوع اللي كيبغيو يحكمو الراجل ... وانا عاوتاني من,You add fuel to the fire... They are the type who like to control the man... and I am also one of...
داك النوع اللي مكنحملش المرى اللي كتبغي تسيطر على الراجل ودير فيها قاصحة . صوفيا,That type of woman who wants to control the man and act tough. Sophia
: بحالاش؟ كيفاش تسيطر على الراجل زين الدين : ماعرفتش كفاش نشرح ليك ولاكن كاين,How?
تصرفات كديرهم كيبينو ليا بحال الى باغا تسيطر عليا .. ومها مسانداها ... بغاو يديرو,"""Actions you do make it seem like you want to control me... and her mother supports her... they want to do."""
ليا بحال اللي دايرين لباهم ... مكيهضر مكينطق ومها هي الراجل فالدار .. نهار الاول,"For me, it's like their father... he doesn't speak, doesn't utter a word, and their mother is the man of the house... from the very first day."
فاش بغينا نتزوجو مهضرش باها ... هضرات مها وطلبات خمسة دالمليون فبنتها ... جاتني ناقصة,"When we wanted to get married, her father didn’t speak... her mother spoke and asked for five million for her daughter... I found it unreasonable."
الصراحة واخا هاكاك قلنا ماشي مشكل ... بغات تبقى فآكادير متبعدش على عاءلتها قلت هاانيا,"Honestly, even so, we said no problem... She wanted to stay in Agadir and not be far from her family, so I said fine."
... باقا جديدة خليها تولف ونبدلو السكنة .. طلعات حاملة من نهار العرس .. ماكنتش,"... She's still new, let her get used to it, and then we'll change the house... She got pregnant since the wedding day... I wasn't..."
باغي نسبق الاولاد مي مها دفعاتها تولد وولدات ... ماعلينا ... رجعات كتمشي لدارهم بلا,"""I wanted to beat the kids, but her mother pushed her to give birth, and she did... Anyway... She started going to her family’s house without..."""
خباري حتى كنعيط وكتقوليا عند ماما ... فاش كنتعصب مكتسوقش ... يعني اللي فراسها كديرو,"""My news is that I call, and you say you're with mom... When I get upset, you don't care... It means she does whatever she wants."""
بحال الى بغات ترودني ... وفاش كترجع معطلة ونسولها كتبدى تنفخ والى هزيت عليها يدي,"It's like she wants to provoke me... and when she comes back late and I ask her, she starts sighing, and if I raise my hand at her..."
كتمشي ديكلاري بيا ... يعني اللي فراسها كديرو وبلا متشاور معايا كتعرض على اللي بغات,She acts on her own... meaning she does whatever she wants without consulting me and invites whoever she likes.
