Darija (Arabic),English
( كتشير ليها جيهة نضال ) Nampyeon Nidal ( زوجي نضال ) neo ileum -i,(Pointing to Nidal's side) Nampyeon Nidal (My husband Nidal) your name is.
mwoni ( و انت شنو سميتك ) بنت : Nae ileum -eun yura ( سميتي,My name is Yura.
يورا ) ( الحوار بالكورية ) نهيلة : وااو يورا سمية زوينة ،شحال في عمرك,"Yura: Wow, Yura is a beautiful name. How old are you?"
ازوينة يورا : ( دارت ليها بايديها 5 ) وانت نهيلة : هههه انا 20,"Yora: (She gestured with her hand showing 5)  
Nahila: Haha, I’m 20."
سنة يورا : علاش راجلك معصب نهيلة : ( دارت عند نضال ) نضال خلعتي,"Sana: Why is your husband upset?  
Nahila: (turns to Nidal) Nidal, you scared me."
درية ضحك شوية نضال : ( قرب حداهم ) يورا : ( حطات ايديها على,Doria laughed a little.
فمها وضحكات ) نضال : ( ابتاسم لها ) نهيلة : ويينو نضال شوف شحال,"Her mouth and she laughed.  
Nidal: (smiling at her)  
Nahila: Where is it, Nidal? Look how much."
زوينة حمقاتني نضال : ( باسها ) زوينة بحاالك نهيلة : ( بحزن ) مسكينة,"Beautiful  
She drove me crazy  
Nidal: (kisses her)  
Beautiful like you  
Nehila: (sadly) Poor thing"
باقة صغيرة خاصها تشافا نضال : غتبرى انشاء الله نهيلة : انشاء الله،يورا حبيبة فيك,"A small bouquet needs to be seen.  
Nidal: It will be considered, God willing.  
Nahila: God willing, may you be well, dear."
جوع نجيب ليك شي حاجة يورا : ( كتحرك ليها راسها باه ) نهيلة :,Hungry? Should I bring you something to eat?
نضال واخا تجيب ليها شي حاجة تاكلها نضال : اك انا جااي ( باس نهى,"Nidal: Okay, I'm coming."
وخرج ) يورا : ناهلة نهيلة : هههه ناهلة، بغيتي تقولي نهيلة يورا : وي,"And he left.  
Yora: Nahla  
Nahila: Hahaha Nahla, you meant to say Nahila.  
Yora: Yes."
نهيلة : ههههه عرفتي شنو قولي ليا طااتي يورا : اك طاتي، نهيلة : (,"Nahila: Hahaha, you know what, call me Tati.  
Yora: Ok, Tati.  
Nahila: ("
باستها وعنقاتها ) اااح على طاتي ( بقات كدوي معاها وتلعب معاها حتى دخل نضال,She kissed her and hugged her.
فايدو بلاستيك فيها سندويش ) نهيلة : هاوا عموو جاب ليك الماكلة ( خدات من,"A plastic container with a sandwich.  
Nahla: Here you go, uncle, I brought you food."
عندو بلاستيك وعطات ليورا سندويش، لي خداتو وبدات كتاكل فيه بزربة ) ههه بشوية علييك,"He has plastic, and she gave him a sandwich, which he took and started eating quickly. (Haha, take it easy!)"
يورا : ( كملات الماكلة ) شكراا طاتي نهيلة : بصحتك احبيبة ( تكاتها ),"Yora: (finished eating) Thank you, Auntie.  
Nahila: Enjoy, dear. (pats her)"
يالاه دبا خاصك تنعسي يااك يورا : واخا ،طاتي بقاي معايا نهيلة : ( شافت,"Come on, now you need to sleep, right? Yora: Okay, Tati, stay with me for a while. (She looked)"
في نضال دار ليها اه براسو ) اك ( تكات حداها و بدات تلعب ليها,"In the struggle, he personally helped her, sat next to her, and started playing with her."
في شعرها حتى نعسااات،وغفاات حتى نهيلة حداها نضال عجبو منضرهم جبد تيليفون وصورهم ) (,"She fell asleep with her hair down, and Nahila dozed off beside her; Nidal, impressed by the scene, took out his phone and took a picture of them."
اصبحنا واصبح الملك لله فاقت نهيلة كتكسل بان ليها نضال ناعس فوق فوطوي معدب، مشات,"We woke up, and the sovereignty belongs to God. Naheela woke up feeling lazy and saw Nidal sleeping uncomfortably on the couch; she left."
جيهتو و بدات تفيق فيه ) نهيلة : حبيبي نضال : ( حل عينيها بزربة,She approached him and started waking him up.
) مالك شنو وقع نهيلة : والو احبيبي غير شفتك ناعس معدب فيقتك باش تمشي,"What's wrong, Nahila?  
Nothing, my dear, I just saw you sleeping uncomfortably, so I woke you up to go."
تنعس حدا يورا نضال : ماشي مشكيل حبيبتي مولف يورا : ( كتفوه ) طاااتي,"She sleeps next to Yora  
Nidal: It's okay, my love.  
Yora: (They restrained him) Fall!"
نهيلة : وي حبيبة يورا : ( ببرائة ) بغييت نمشي طواليط نهيلة : ههه,"Nahla: Yes, dear.  
Yora: (innocently) I want to go to the toilet.  
Nahla: Haha."
اك حبيبة ( هزاتها ) اووب ( دخلو الحمااام غسلات ليها وجها وجبدات نهيلة واحد,"Oh sweetheart (she carried her) and (took her to the bath, washed her face, and brought out a small towel)."
بانضة من ساكادو ديالها وجمعاات ليها شعرها ) نهيلة : اووه هاحنا سالينا الاميرة يالاه,"Bending over her backpack and tying her hair) Nahila: Oh, we're done, princess, let's go."
نخرجو ( خرجاتها تكاتها في ناموسية وباست ليها نيفها ) نهيلة : فيك جوع احبببة,"Nahila: Are you hungry, dear?"
يورا : ( كدير ليها براسها اااه ) نهيلة : ( دارت عند نضال ),"Yora: (She acts arrogantly, huh) Nahila: (She turned to Nidal)"
نضال : انا غنمشي نجيب ليها وليك ( خرج ) نهيلة : ممم نشوفو هاد,"Nidal: I will go get (khrej) for her and you.  
Nahila: Hmm, let's see this."
تلفازة شنو فيها ( بدات كتقلب حتى طاحت في اداعة دياال رسوم متحركة، طبعا بالكورية,"The TV, what's on it? (She started flipping channels until she landed on a cartoon channel, of course in Korean.)"
كتفرجو ويضحكو ) ( حتى دخل نضال في ايدو دي صاشي، عطاهم صاشي كلاو شبعو,"They were watching and laughing until Nidal came in with a bag in his hand, gave them the bag, they ate and got full."
كرشهم وكملو تفرااج ونضال غير كيشوف في نهيلة كيفاش تعلقات بيورا، حتى قاطع تفكيرو صوت,"Their stomachs were full, and they finished watching, while Nidal kept looking at Nahila, wondering how she got attached to Yora, until his thoughts were interrupted by a voice."
دقان كان طبيب، علمهم بلي نضال يقدر يتبرع ليورا، نهيلة فرحات في نفس الوقت خايفة,"Daqan was a doctor, he informed them that Nidal could donate to Yora, Nahila was relieved but scared at the same time."
على نضال ) نضال : وقتااش غتكون العملية طبيب : غدا نديروها نهيلة : اك,"Nidal: When will the operation be?  
Doctor: We'll do it tomorrow.  
Nihila: Okay."
# تسريع الاحداث # ( اليوم عملية زرع الكلية ليورا، نهيلة برى كتسنى وخاايفة لا,"# Speeding up events # (Today is Yora's kidney transplant operation, Nahila is waiting and scared)."
توقع شي حاجة لحب حيااتها ) نهيلة : مغيوقع والو تهدني نهيلة، اااف كولشي غيكوون,"Expect something to love her life) Nahila: Nothing will happen, calm down Nahila, everything will be fine."
مزياان ( دازت ساعة ساعتين عاد خرج طبيب كمسح في العرق على وجهو ) نهيلة؛,"Good. (An hour or two passed before the doctor came out, wiping the sweat off his face) Nahila;"
( مشات عندو كتجري ) نضاال بيخير ياااك مابييه والو طبيب : متخاافيش كولشي بيخير,"(She ran to him)  
She stood up: ""Are you okay? Nothing happened to you?""  
Doctor: ""Don't worry, everything is fine."""
وحتى الطفلة الصغيورة ، نهيلة : الحمد الله ياربي الحمد الله ،دكتور واخا نقدر نشوفهم,"And even the little girl, Nahila: ""Thank God, thank God. Doctor, can I see them?"""
طبيب : ميمكنش حتى لغدااا نهيلة : عفاااك ادكتوور طبيب : ( تنهد ) واخا,"Doctor: It's not possible until tomorrow.  
Nihila: Please, doctor.  
Doctor: (Sighs) Alright."
ولكن غير 5 دقائق وتخرجي سيري مع الممرضة باش نعطيك اللباس لي غتلبسي نهيلة :,"But just 5 minutes and you’ll go out, go with the nurse so she can give you the clothes you’ll wear, Nahila."
اك ( مشات مع الممرضة عطاتها لبسة لي غتلبس،لبساتهم من بعد مشات الغرفة لي فيها,"She went with the nurse, who gave her clothes to wear. After putting them on, she went to the room where she was."
نضال و يورا، مشات ديريكت جيهة نضال،باست ليه حنكوو وفموو ) نهيلة : افف الحمد,"Nidal and Yora, she went straight to Nidal, kissed his cheek and mouth."
الله دازت العملية بيخير ( ناضت من حداها ومشات حدا يورا حتى هي باستها ),"Thank God, the surgery went well. (She got up from beside her and went to Yora, and she kissed her too.)"
نهيلة : ( كدزو ايديها على شعرها ) انشاء الله غتبرااي احبيبة ( خرجات من,"Nahla: (running her hand through her hair) ""God willing, you’ll get better, my dear."" (She left...)"
الغرفة خدات كونطاك ديال لوطو ورجعات لوطيل باش تبدل حوايجها، دخلات دوشااات لبسات عليها شوميز,The girl took the car keys and went back to the hotel to change her clothes; she took a shower and put on a shirt.
دو نوي، وتلاحت نعسااات طااحت كاااو ) ( اصبحنا واصبح الملك لله فاقت نهيلة دخلات,"Two new ones, and she fell asleep, collapsed.  
""Upon waking, we belong to Allah, and the kingdom belongs to Allah.""  
Nihila woke up and entered."
الحمام قضات حاجتها من بعد لبسات حوايجها عادي مدارتش كاع ميك اب خلات وجها طبيعي,"The woman finished her bath, got dressed normally, didn’t put on any makeup, and left her face natural."
،هزات كونطاك ديال لوطو و كسيرات لمستشفى لي فيه نضال ويورا ) ( وصلات بان,She took the car keys and drove to the hospital where Nidal and Yora are.
ليها حدا لوبيطال محل ديال لعاب لدراري صغار دخلات خدات نونوس كبير شوية وزوين خلصات,"Near the hospital, there’s a toy shop for kids; she went in, took a slightly big and cute teddy bear, and paid."
من بعد دخلات مستشفى،سولات طبيب واش تقدر دخل عطاها الموافقة ودخلات،مشااات جيهة نضال، جرات كلسي,"Afterward, she entered the hospital, asked the doctor if she could go in, he gave her permission, and she went in. She headed towards Nidal and pulled a chair to sit."
وجلسااات حداها وبدات تلعب ليه بشعرو وتشووف فييه،حتى غفااات حداااه ) عند سلمى : (,"And she sat next to him, started playing with his hair and looking at him, until she fell asleep next to him."
كانت متكية على رجل سااامي ) سلمى : حبيبي سامي : ممم سلمى : شفتهم,"She was leaning on a man named Sami.  
Salma: My love.  
Sami: Hmm.  
Salma: I saw them."
هاد الاياماات مبقاوش عيطو سامي : مشغولين احبي ( غمزها ) سلمى : ( حشمااات,"These days they stopped calling Sami: ""Busy, my dear"" (he winked at her) Salma: (she blushed)."
) الله يمسخك سامي : كتحشمي مم سلمى : وصاافي ( ضرباااتو ) سامي :,"Sami: ""God disgrace you.""  
Salma: ""Aren't you ashamed?""  
Salma: ""That's enough."" (She hit him.)  
Sami:"
هههه حشومية ديالي سلمى : ( ناضت من على رجلييه ) انااا غنهبط التحت عند,"Hahaha, my shyness Salma: (She got up from his lap) I'm going downstairs to..."
البنااات سامي : اك سيري ( قادات شعرها وحوايجها هبطات التحت لقااات برائة جالسة شادة,The girls Sami: Go.
تيليفون كضحك و جسور مقاابل معاه شاد بيسي كيخدم فيه ويشوف في برائة ويغووبش اما,"The phone is laughing, and a bridge is facing it, holding a PC, working on it, looking innocently, and mumbling."
سارة دايرة كاسك في ودنها وكتسنط اغناني سعد المجرد ممسواقاااش ) سلمى : هااااي (,"Sarah is wearing headphones and listening to Saad Lamjarred's songs, completely unbothered.  
Salma: Hiiiii!"
حتى واحد مجاوبها،مشات جلسات حدى برائة وطيرات ليها تيليفون ) علاش كتفرنسي كي راس المشوط،,"No one answered her, she went and sat next to Bara’a and snatched her phone. ""Why are you acting crazy like a lunatic?"""
معامن كدوي برائة : ( خدات تيليفونها،ودوات باغا تفقس جسور ) كندوي مع حبيبي عمري,"I'm talking to my love, my life."
وحيااتي كاملة جسور : ( ناري على تخنزيرة ضرب فيها ) سلمى : هاي هاي,"""My whole life is bridges: (Oh my, what a mess it caused) Salma: Oh wow."""
وشكون هدا بسلااامة برائة : كماال سلمى : كمال شكون كمال معرفتوش برائة : استااادي😍,"Who is this?  
Bara’a: Kamal  
Salma: Kamal? Who is Kamal?  
Bara’a: My teacher 😍"
برائة : بااختي شحال بوكووص احح😍 سلمى : ( قرصاتها ) شفتك تحليتي سارة :,"Innocence: ""Oh sister, how much bokoss (beautiful) ahh😍""  
Salma: (pinched her) ""I saw you blushing.""  
Sara:"
( حيدات كاسك ) ماالكم برائة : كنعااود ليها على استاد ديالنا سارة : اااخ,"(She took off her helmet) What's wrong with you, innocence: I was telling her about our teacher. Sara: Ugh."
متفكرينيش ياختيي بوكووص بزاااف سلمى : الله يستر معاكم كي غايكوون كاااع سارة : (,"Don't remind me, sister, too much drama.  
Salma: God help you all, how will it even be?  
Sara: ("
بدات تقلب في تيليفونها ) هاكي شوفي صورتو بلاما يعيق بيااا سلمى ( خدات تيليفون,"She started scrolling through her phone. ""Here, look at his picture without him noticing, Salma,"" she said as she handed over the phone."
حلات فمها ) اااح تيتيز😍،ولكن حبيبي حسن منوو 😯 سارة : مزعووط في برائة طيحيتيه,"She opened her mouth: ""Aaah, cutie😍, but my baby is better than him 😯.""  
Sara: ""You charmed him with your innocence."""
المسخووطة جسور : ( ضرب طبلة بجهد حتى كولشي قفز ) هاادشي علاش غادين تقراااو،بااش,"The insolent one is bold: (hits the drum hard until everyone jumps) This is why you’re going to study, so..."
تسلقطو برائة؛ و انت ماالك شنو دخلك ياااه جسور : دخلني، ما حد خووك مكااينش,"""Mind your own business; as long as your brother isn't here."""
هناا فراه سوقي برائة : ( هزات تيليفونها كتكونيكطا وممسوقااش اما هو بركان غينفاجر ),"Here, it's like she's innocent: (She picked up her phone, connecting and unconcerned, while he was about to explode.)"
البنااات انا خارجة غنتلقىى مع استاااادي ( وركات على استادي ) جسور : براااائة سلمى,"Girls, I'm going out to meet my teacher (winks about my teacher) Jasour: Innocence, Salma."
: صافي انا غنمشي معاااك سارة : حتى انا ( طلعو لبييت ،لبسات برائة حوايجها,"Okay, I'll go with you.  
Sarah: Me too.  
(They went upstairs, and Bara’a changed her clothes.)"
( الصورة ) و حتى سلمى وسارة ) سارة : البنات انا غنتلاقا مع مااجد,"(The picture) and even Salma and Sara  
Sara: Girls, I’m going to meet Majid."
غير درت سبة بيكم سلمى : ههه اك سيري عند نهيلة : ( بقات ناعسة,"I just joked with you, Salma: Haha, go to Nahila: (She’s still sleeping)."
حتى حسااات شي واحد كدوز ايدو على شعرها، فاقت قافزة لقات نضال فااق ) نهيلة,"Until she felt someone running their hand through her hair, she woke up startled and found Nidal awake."
: ( عنقاتو ) فقتي حبيبي ( باستو في فمو ) كنت مخلوعة علييك نضال,"She hugged him: ""You woke up, my love"" (she kissed him on his mouth), ""I was so worried about you, Nidal."""
: ااح الحب خاايف عليا نهيلة : وعلاش منخافش عليك راك راجلي حبيبي نضال؛ (,"Nidal: Love, I'm worried about you, Nahila.  
Nahila: And why wouldn't I worry about you? You're my husband, my love."
قاس ليها راسها ) فيك سخانة واقيلة احبيبتي مموالفاش ليك دوي هكااا نهيلة : يخخخ,"She touched her head (Do you have a fever, my dear? You're not used to talking like this, Nahila: Ykhkhkh)."
غا لي بغى يكون مزيان معااكم نضال : هههه ،كيف بقاات يورا نهيلة : لاباس,"Nidal: Haha, whoever wants to be good with you.  
Nahila: Yora is fine."
عليها غير هي باقي مفااقتش، هاياا حدااك يورا : ( حلات عينيها ) ط ط,"She just hasn't woken up yet, here she is next to you: (she opened her eyes) ""Oh oh."""
طاتي نهيلة : يورا حبيبة ( مشات حداها ) حبيبة كضرك شي حاجة اك يورا,"Auntie Nahila: Yora, sweetheart (went near her), does something hurt you, sweetheart?"
: ( حركات ليها راسها بلا ) نهيلة : ( باستها ) الحمد الله نضال,"Nahila: (She moved her head without)  
Nidal: (She kissed her) Alhamdulillah"
: بدييت كنغيير انااا نهيلة : هههه انت راك الحب ( مشات عندو بااستو ),"I started changing, I’m Nahila: hahaha, you are love (she went to him with a kiss)."
عند سلمى : ( خرجو مشااو المول دارو شوبينغ ودغية رجعو ) # تسرييع الاحداث,"At Salma's: (They went out, went to the mall, did some shopping, and quickly came back) #fastforward"
# ( بعد مرور شهر نضال برىى وحتى يورااا، نضال تبنى يوراا دارها في سميتو,"After a month, Nidal recovered and saw Yora. Nidal adopted Yora and gave her home his name."
حيث شاف نهيلة كيف متعلقة بييها ،نهيلة فرحااات بزااف اليوم رجعو المغرب، كييف دخلو سلمى,"Since he saw how Nahila was attached to her, Nahila was very happy today they returned to Morocco. How they entered Salma..."
تلاحت على نهيلة بالبوساان ) سلمى : بقرة توحشتاااك نهيلة : حتىى انااا القردة سلمى,"Salma: Cow, I missed you!  
Nahila: Me too, monkey!"
: ( كتقيس ليها كرشها ) كبرااات ليك الكرييشة الحب نهيلة : واايه شفتي هههه,"""Your belly is getting bigger, love Nahila.""  
""Yeah, did you see? Haha."""
سلمى : ( كتشوف في يوورا ) شكوون هاد بنييوتة زويينة نهيلة : هههه هادي,"Salma: (looking at Yora) Who is this cute little girl?  
Nahila: Hahaha, this one."
بنتييي سلمى : بنتك؟؟؟ نهيلة : ( عاودات ليهم كولشي ) سلمى ؛الله على الحبيبة,"My daughter Salma: Your daughter???  
Nahla: (She told them everything)  
Salma: Oh, how sweet!"
ديالي الله ( مشات عندها باستها ) برائة : شنوو سمييتها نهيلة : يوورا سارة,"My God (she went to her kiss)  
Barraa: What's her name?  
Nahila: Yura Sara"
: ويينو على يوورا جسور : فيييين نهيلة : العشيير ( تلاحت عليه عنقاتو ),"- Where is Younes on Yora Bridge?  
- Where is Nahila?  
- The guy (he got thrown on his neck)."
توحشتك نضال : ( جرها وخنزر فيها ) تبتي الارض واقيلة راني معاك راني ماشي,"I miss you, Nidal: (He pulled her and glared at her) Look at the ground, maybe I’m with you, I’m not."
بوكيموون سااامي : ( تسالم مع نضال ) العشيير توحشنااك نضال : ( عطااه الرااس,"Pokémon Sami: (greeting Nidal) ""Buddy, we missed you.""  
Nidal: (nodded his head)."
) حتى انا العشيير سامي : وصااحبي راني بغييت حتى انا نعرس نضال : هههه,"Sami: ""Even I, my friend, want to get married.""  
Nidal: ""Hahaha."""
اواا عرس شكون حبسك سامي : كنتسناوكم تجييو بالحق غدااا العرس سلمى : كييفاش باقي,"Sami: We were waiting for you to come, but the wedding is tomorrow.  
Salma: How come?"
موجدت وااالو سامي : كولشي موجد ليه انا احبييي سلمى😊 نهيلة : اوووه الحب الحب,"Sami: I didn't prepare anything.  
Salma: I prepared everything for him, my loveee.  
Nahila: Ohhh, love, love."
يورا : ( بالكورية ) مااامي بغييت ندير دودو سلمى : ههههه درية مكدويش بدارييجة,"Yura: (in Korean) Mommy, I want to sleep.  
Salma: Hahaha, the girl doesn’t speak Darija."
برائة : باش غنتفااهمو معااهااا سارة : بالايشارات 😂 نهيلة : تفرقو على بنتي ،اجي,"Innocence: How are we going to communicate with her?  
Sara: With gestures 😂  
Nahila: Leave my daughter alone, come here."
احبيبة نطلعو البيت ( طلعاتها البيت قرات ليها قصة حتى نعساات غطاتها وتكااات حدااهاا،حتى دخل,"Sweetheart, let's go upstairs."
عليها نضال ) نضال : جااات معااك الامومة نهيلة : ههههه 😊 نضال : حشومية,"Nidal: It suits you, motherhood.  
Nihila: Hahaha 😊  
Nidal: Modesty."
ديالي ( تكى حداها بقا كلعب في شعر نهيلة حتى غفات هي وحتى هو ),"Mine (He sat next to her, playing with Nahila's hair until she fell asleep, and so did he.)"
( اصبحنا واصبح الملك لله فاقت نهيلة على دقااان في البااب حلات الباب مبوقة ),"(We woke up, and the sovereignty belongs to God. Nahila woke up to a knock on the door. She opened the door, startled.)"
نهيلة : شنووو وااقع هااا بايتة تحلمي بيااا سلمى : نونوو بلييز راه اليوم عرسيي,"Nihila: What's going on? Are you dreaming about me?  
Salma: No, please, today is my wedding!"
خاص نمشي صااالون و شحال من حاجة خاصني نديرها بلييز نهيلة : بففف واخااا تسناااي,"I need to go to the salon, and I have so many things to do, please Nahila: Ugh, okay, wait."
نلبس حواايجي،دخلات دوش غسلات وجها و قدااات حاجتها جبدات كسوة حد ركبة في الحكل لبساتها,"I put on my clothes, she went into the shower, washed her face, got ready, took out a knee-length dress for the party, and wore it."
جمعات شعرها كعكة و خرجات مدارت ميك اب، كانو معاها البنات سارة ببرائة ،مشاااو الموول,"She tied her hair in a bun and went out without makeup; she was with the girls, Sara innocently, and they went to the mall."
خداات سلمى ليشووميز دونوي هاا طوييل ها القصيير ها المعري ها المستور، من بعد دازت,"Salma took the clothes, some were long, some short, some revealing, and some modest; then she left."
بيوتي سانطر دارو ليهم ديماسك لوجهم و قادو ليهم ضفارهم، ) نهيلة : اجييي فين,Beauty center made them a face mask and fixed their nails.
غديري العرسو انا معاارفة والو سلمى : في البحر نهيلة : هههه عنداك تجي شي,"Salma: In the sea  
Nahla: Hahaha, careful something might happen"
تسونامي وتريب ليك الحفلة 😂 ( ضربات لسارة في ايدها ) سارة : هههه وايييه,"Tsunami ruined your party 😂 (hits Sara on her hand)  
Sara: Hahaha, ouch!"
سلمى : مالك اختي كتشائمي يخخخ تفوو نهيلة : روولااكس زيين 😂 ( دارو لسلمى,"Salma: What's wrong, my sister? You're being pessimistic, ughhh, pfft.  
Nahila: Relax, it's fine 😂  
(They teased Salma)"
مشطة لشعرها وعملو ليها وردة في الغووز، اما مييك داروه ليها سمووكي لبسااات كسوة بيضة,"She combed her hair and styled it into a rose, while her makeup was done smoky, and she wore a white dress."
( صورة ) اما نونو لبسات كسوة في البيض مشبكة طلقات شعرها دارت ميك اب,"(Picture) A baby girl wearing a white lace outfit, with her hair styled and makeup done."
خفيف، وبرائة لبسات كسوة في الحكل لاسقة عليها دارت شعرها بووكلي ميك اب صاارخ،اما سارة,"Light, and innocence wore a dress in the field stuck to her, she did her hair with a bun and bold makeup, as for Sara..."
لبسات كسوة في البيض حد ركبة و صاوبات مشطة لشعرهاا ) نهيلة : ( عنقاتها,She hugged her.
) حبيبتي جيتي كتحمقي سلمى : حتى انت احبيبة ( بدات دمع ) كنت كنتمنى,"My love, you drive me crazy, Salma: You too, my dear (started crying) I was hoping."
اليوم يكونو والدي معايا نهيلة : ( غلبوها دموعها ) هئ هئ هدا هو القدر,"Today, my parents will be with me, Nahila: (She was overcome with tears) *sigh* This is fate."
معندنا نهيلة : كنت كنتمنى حتى انا يكونو معانا دباا مي هدا هو القدر (,"Nahila: I was hoping they would be with us now, but this is fate."
مسحات ليها دموعها ) اليوم عرسك مسحي عليا هاد دمووع خاصك تكوني فرحانة ولا سلمى,"She wiped her tears: ""Today is your wedding, wipe away these tears. You need to be happy, Salma."""
: ( عنقاتها ) نهيلة؛ ناقصك حنااان اليوم غتشبعي حنان في الليل 😂 سلمى :,"Nahila: (hugged her) You're lacking affection today, tonight you'll get plenty of affection 😂 Salma:"
الله يمسخك ( خرجو من بيوتي سانطر، ركبو في لوطو واتجهو البحر ،لقاااو اليخت مزين,"May God disgrace you (They left my house angry, got in the car, and headed to the sea, where they found the yacht beautifully prepared)."
بالورد، كان سامي واقف تما لابس كومبلي ومقااد شعرو جاء بوكوص غير شاف سلمى جاء,"With flowers, Sami was standing there wearing a suit and with his hair styled, looking handsome as soon as he saw Salma arrive."
عندها وعينيه باين فيهم الاعجاب شد ليها ايديها وباسها ) سامي : جيتيي كتحمقي 😍,Sami: You drive me crazy 😍
