english,darija
"Hello my sister Halima, I am always following you. I swear you made a channel. Can you advise me on how to activate my channel? May God have mercy on your parents.",Slm okhtii halimaa ana motabi3a dyalkk 9dimaaa . . . wyalhh dirtt 9anatt . . . bachh tns7inii bachh tfa3ill 9anatii . lahh yrhmlik walidinn
"Mmmmm tea, bless you.",Mmmmm tchahi tbarkalllah 3lik
"God bless you, may Allah protect you, my sister. Well done.",Macha allah 3lik lah yhifdik ahti ahsanti
Please subscribe to this YouTube channel. Click the bell icon and hit the like button. Thank you!,"< a href = "" https : / / www . youtube . com / watch ? v = wG0foHyMcvs "" > https : / / youtu . be / wG0foHyMcvs < / a > 🤲 🤲 🤲 🛎 ️ 👍 🏻 👈 🙏 🙏 🙏"
"May God bless you and protect you, you have good manners, humility, and calmness. May God protect you.","Tbkllah machaa llah kanhma9 3lik , ladab oswab otawado3 , olhdaga , hafidaki llah"
"Sorry, I cannot provide a translation for ""Toop"" as it is not a valid word in the Moroccan language (Darija). Could you please provide a sentence or phrase in Moroccan Darija for me to translate into English?",Toop
I hope you can come to my place. My room is small and modest. Come join me.,Ntmna mnkom dokhlo 3andi l9anti sarigha motawadi3a t3ano m3aya
"Sister Halima, how many sheets of paper do you need to fill a basket of sweets? I'm in a hurry and want to buy paper. I hope you can answer me.",Khti hlima chhl dyal wr9a htajiti ft3mira dyal bsatl hlowin rni drt lhochwa wbrit nchri wr9a ntmna tjwbini
"O Allah, bestow Your prayers and peace upon our master Muhammad, his family, and his companions, and grant them abundant peace. Amen.",Alahouma sali wa Salim ala sayidina Mohamed wa alihi wa sahbihi wa Salim taslimane katirane amine 🙏 💖 👍 💐 🙋
"My beautiful sister, we still call you to come visit us. May God make it easy for you.",Khti hlima mzal kn3ayno mnak drilina tjin b sousit lah yshl 3lik
"Hello sister, you're the best. I hope there are no haters, sister Halima. They attacked my channel. May God make it easy for you.",Salam 3alikom khati raki top < br > Ntmana man mochahidin khati halima hjmo 3la 9anati allah ysahal 3alikom 🥰 🤝 👍 👍
"Thank you, my sister Halima. Please tell me, at what price can I sell these slippers? Answer me, may God bless you.",Tbarkllah alik akhti Halima 3afak bchehal n9dar nbi3 had chbakiya jawbini llah ekhlik
"I love you, Lalla Halima, and you gave me an education and instilled good morals in me. You did well by me.",kanhabouk lalla halima w tina madrasa w akhla9ak 3alya machalah 3lik
"Thank you for your advice, sister Halima.",Choukran 3la nasih akhti halima
May God reward you. Pray for me too so that I can get my papers legally. The prayer of an expatriate is accepted.,Lla ijazikom d3iw m3aya hta ana ndir dwirti blhlal da3wat lgharib mostajaba .
"May God protect you, God willing.",Machallah lah iwf9ak yarab
"May God protect you, my dear. Good continuation and good courage, God willing.",Allah ihafdak ma chére bonne continuation et bon courage macha Allah
"God has willed it! Wonderful! Sister Halima, will these sardines remain crunchy if we freeze them?","MashaAllah ! Fannana ! Okhty Halima , wache had lmssimnates yab9awe m9armchines ila jammadnahom ?"
"May God grant success, God has willed it.",Allah iwafa9 ma sha allah
May God protect you ❤❤,Allahi hafdek ❤ ❤
May God give you health.,Lah ya3tik ssaha
"I miss you, my sister, I swear we miss your company.",Twahachtak akhti walah twahchna wasafat dyalak
"We miss you. Take care of yourself. You're the best and we trust you a lot. Keep going, God is with you.",kana7ma9 3lik . amama tanya . nti ahsan wa7da o7na tay9in fik obzfff . stamaru rabi m3ak
I'm craving a royal rfissa 😍 😍 😍,Nari 3la rfissa royale 😍 😍 😍
We want recipes for Thermomix 😋 😋 😋,Bghina wasafat b Thermomix 😋 😋 😋
"Translation:
Bless you. The girls went to visit Hosam's grandmother.",Tbarkalah . 3lik . Lbnat dokhlo 3and kabira om hosam
"May God give you health, my sister.",Lah y3tik sha akhti
First like,❤ ❤ ❤ ❤ 1er like ❤ ❤
Thank you,Tbarkalaaaah 3lik
"I tried it and it's great. You gave me courage and I'm a beginner. Thank you very much, Madam Halima.",Jrebtoooo jaaaaa ra2i3 w3tit mno l7mati wana mobtadi2a merci bcp mdm halima
"Thank you, my dear. I like your recipes. May God protect you, my sister.",Tbarkalah aliki habibati kay3ajboni lwasafat dyalkilah yhafadki akhiti
"God bless you, well done!",Tbarkalah 3lik machalah 3lik
May God make it easy for you. Help me find a Zumba class nearby.,3afakom llah isahal 3likom 3awnon8 fkhanati zumba fati
Thank you,Tbarkalah 3likom
Do you sell them?,Vous les vendez ?
"May God save you from worry and sorrow and make you happy. Support my daughter's channel, it's been two years and it's not taking off.","ﷲ ﺍﻧﺠﻴﻜﻢ ﻣﻦ ﺍﻟﻬﻢ ﻭﺍﻟﻐﻢ ﻭﺍﻓﺮﺣﻜﻢ ﺩﻋﻤﻮ ﻟﻴﺎ ﺑﻨﺘﻲ ﻗﻨﺎﺗﻬﺎ ﻋﺎﻣﻴﻦ ﻣﺎﺑﻐﺎﺗﺶ ﻃﻠﻊ < a href = "" https : / / www . youtube . com / channel / UCTrUSMWopNTrwqwZM_K192Q "" > https : / / youtube . com / channel / UCTrUSMWopNTrwqwZM_K192Q < / a >"
What would you answer if I asked if Nutella chocolate is possible?,Chi had tjawebni law momkin wach chocola Nutella
Nice,Niice
"Sister Halima, I beg you to answer me: if we put them in Fino papers, will we be able to fry them?",Khti Halima ntmank tjwbini wch ila darnhom bwar9t lfino wch n9dro na9liwha
"I still respect you, frankly, a respectable woman.",Ana ba3da kanahma9 alik saraha mra mohtarama
"Hello, Aunt Halima.",Salam lala halima
I already did it.,Déjà drtiha
"I apologize, but the image is a bit far from the screen. I couldn't see the features clearly as I usually see them.",Tbarklaj ms . wahd molahada vamera kant b3iida chwia 3la l9asria ma9dernach ncjofo lkhalite kifkan mezyan kifmwlfin kanchofoh
"May God give you health, my love ❤ ❤ ❤",Top machaà lah yaatik saha habibti ❤ ❤ ❤
"May God grant you success, God willing, my sister. You are always the best. I follow you, God willing.",Llah iwaf9ak inchallah khti raki dima tooop tooop orantab3ok nchalalh
"May God grant you health and wellness, and may He protect you, my sister.",Alah ya3tik shiha w salama rapi yhafdak okhti
"May God give you health, it is as God has willed.",Llah ye3tek saha machaellah
"You deserve it, sister . . you truly deserve it 😘",Testahli akhti . . tu la bien mérité 😘
May God give you health.,Allah . . i3tik . . saha
"The input text appears to be gibberish and does not form a meaningful sentence in Moroccan Arabic (Darija). I apologize, but there is no coherent translation possible for this input.",ﺥ ﻩ9ه ﻫﻬﻪ ﻧﺤﻦ ﺗﻮﺝ . ﻭﺧﺤﻬﻮ ﻣﻦ ﻭ . ﺗﻮﺗﻪ ﺧﺨﺨﺨﺦ ﻭﺯﻧﻪ ﻓﻲ ﺩﻡ
"Really it's very very good the real professional, you nailed it, cheers 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🇨🇵🇨🇵🇲🇦👍👍👍💐💐💐💐💐💐🌹🌹🌹🌹",Vraiment c & # 39 ; est très très bien la vraie professionnelle ahtak saha 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 🇨 🇵 🇨 🇵 🇲 🇦 👍 👍 👍 💐 💐 💐 💐 💐 💐 🌹 🌹 🌹 🌹
"I love you and I trust you, and don't trust anyone else.",Hna kanbghiwak w kanti9o fik w matadihach f HTa wahade
How much time do you want to spend in the oven?,Chhal khti dyal lwa9t flfaran
Do it for us.,Diri lina
"Hello sister Halima, we want a turkey tagine.",SLM khti Halima bghina btbout m3mer
"May God give you health, the woman gave birth to a very beautiful baby girl.",Dartha dl3at ghzala bzaf wbnina lah yetik saha
You deserve all the best.,Tstahli koul khir
Well done ♥ ️ 🌹 🙏 🙏 🙏 🙏 ♥ ️,Bravo ♥ ️ 🌹 🙏 🙏 🙏 🙏 ♥ ️
"I don't have a job, and I'm in a difficult situation.",Wali ma3ndoch nokhala ana fi dawla saib la9aha
I will get drunk and stay drunk until morning.,Wakha ndir lkhamara nkhaliha hta sbah
What can we do in Fes without money?,Wch n9dro ndiro f9as bidon sokar
"Chabakia is easy, it doesn't have a lot of sugar, it just needs pure honey at the end.",Chabakia sehiya maykon socar nihaiyan khas Ikon la3sal alhor
"Please, where can I find that cream? Is it sold in packs? And who can answer me?",3afakom fin nl9a hadik l crema wach hadik katba3 bl3bar o 3nd mn jawboni ⛔ ️ ⛔ ️ ⛔ ️ ⛔ ️ ⛔ ️
"I learned a lot from you, my sister, I swear. Your advice is successful, and whenever I feel dizzy, I come to you.",Ana t3alamt manak bzzzzaf akhti walah wasafatak najhin ou finma kandoukh kanadkhol 3zndak
May God bless you and keep you. You are the best girl on YouTube. We learn everything from you. Well done!,Lah ynewrk wyba3ad 3lik chare khal9 nti ahsan wehda f youtub menk knt3almo kolchi bravo lik
"May God give you health, you got us good and we'll do it again to you.",Lahe ye3etike seha derteha fena werane3awedha
"Pay attention to yourself and prioritize your family, it's the best thing you can do. I know the scientific evidence supports this.",Mn 7a9k daf3i 3la Rask o timing 3a2iltek a7sen haja ghadiriha 3aRfih chkon choRta l3ilmia tjabdo tjabdo
"Mrs. Halima, are you taking orders?",ﺍﻟﺴﻴﺪﺓ ﺣﻠﻴﻤﺔ ﻭﺍﺵ ﺗﺪﻳﺮﻱ les commandes
"Congratulations, my sister. May God bless you more and more.",Tasstahli à khti mabrouk 3lik o allah izidak ktar wa ktar
"May God give you health, you always bring us new things and explain them to us very well, everything is easy for us, thank you very much.",Alah ya3tik saha dima katjibilina ljadidi oktcharhilina mazyan kolchi katshlih 3lina chokran lik bzaaaf
"Did they tell you about a group they belong to so you can see for yourself on their Facebook page? Only then should you believe it, my sister Halima, ""Do not believe what the eyes see and the ears hear.""",Nas li galolik chi groupe tasli bihome tchofi b 3aynik f facebook dyalhome 3ad sad9i bache maytalfokche khti Halima & quot ; la yosada9 mala tara l 3ayne wa tasma3o l odone & quot ;
May God be with you and grant you success.,Machae alah lah iwf9ak
Something new would be good to change things up from last year.,Chi haja jdida mzyana nbedlo had xi bhal l3am lfayt
"You are very beautiful and respected, Sarah. I still like you very, very much.",Sarah nti zwina mhtarma ana ba3da kat3jbini bzaf bzaf
"Oh Lord, I wish for Ouahda's well-being, she supported me in this channel, may God protect her and her family, oh Lord, Amen.",Yaaaaarbi kantmna l iiwhda d3matni f had l9anat lah yhfadha o yhfad liha 3iltha yaaaaaarbi amiiiiin
I'm crazy about you 😘 😘 😘,Ana knhma9 3lik 😘 😘 😘
May God give you health.,lah i3tik sha
"Hello, how are you, Halima? I am one of your followers, and I wanted to tell you that you are always radiant.",Salam koty kty halima ana mn motatabi3in dayalk wbrit ngolik rak dima mnwera
May God protect you.,Lah ihfdk
"Here is the translation of the sentence ""Ingredients english lla transilate"" to English:

Translate the ingredients to English",Ingredients english lla transilate
"Hello girls, please how long did you let it rest?",Salam labnat 3afakom ch7al khalatha tarta7
May you give us art,Lay3tik saha lfna
"Please, can I have the number for the filo pastry or packaging? Thank you.",ﻋﻔﺎﻙ ﻣﻤﻜﻦ ﺭﻗﻢ ﻭﺭﻗﺔ ﺍﻟﻔﻴﻠﻮ ﺍﻭ ambalage merci
"Hello, Miss Halima.",ASSALAM LALLA HALIMA
Can't you see I'm busy?,Matchofoch madhar ta9dar ?
"Translation:
God is sufficient for me and He is the best Disposer of affairs. God bless you, your face is not for problems. Finally, my sister, don't get involved in them.",Hasbiyalah wani3ma lwakil tbarklah 3lik wajhak machi dyal lmachakil finira akhti omatdihach fihom
"I accidentally entered that group a lot, thinking it was yours until I found some topics that were not the right ones, so I knew it wasn't yours.",Ana Brassi dkhalt dik lagroup bazzf hadi hssab li dyalak hata l9it chi mawadi3 machi homa hadok 3raft machi dyalak
"Hello, thank God for you, my sister. I learned a lot of things from you and I gained self-confidence to cook anything thanks to your videos (I am a Moroccan residing abroad). If possible, could you please make some soup recipes for us this Ramadan? We only know how to make Harira and vegetable soup. If you have any suggestions, we really need them. Thank you in advance.","Salam , mahsllah 3lik a khti t3elemt mnk bezaf dial l7wayj o wlat 3ndi ti9a fe rassi bach nteyeb ay haja be fdel les vidéos dialk ( ana mn ljalia lmo9ima belkharij ) , momkin la jat 3la kharek tdiri lina des soupes fe had ramadan , rah makan3erfo ach ndiro mn ghir l7rira o soba dial lkhodra , la kano 3ndk chi 9tira7at rah 7na ma7tajinhum 3afak , merci d & # 39 ; avance"
"May God give you health. I want to know where I can find a grinder like the one you used to grind the almonds, please.",Lah ya3tik sa7a . Ana bghit n3rf fin nl9a b7al dak hachoir li t7nti fih louz lah ykhlik
You're awesome,Raki tooooop
"Even if you turn your back on me, I would die for you more than anyone else. May God make your affairs easier.",Fin tatgheberi 3lina tanmout 3lik oktr mn l9yas llah yser omourek
God bless them both.,Tbarkalah lahoma barek
"Well done, ma'am.",BRAVO madame
May God guide what he has created.,Lah yhdi maykhla9
"You deserve all the best, my sister. We have learned so many things from you.",nti tsthli koul khir okhti chhal haja t3lmna mnk
"Sister Halima, please provide the quantity of white chocolate... and where did you get that chocolate paste from? I searched for it until I got tired. Can we replace it with chocolate spread? Girls, please, whoever sees my comment and has any information that can help me regarding this recipe.",Khti Halima l gramage 3afak dyal chocolat blanc . . . o hadik la pâte de chocolat mnine khditiha 9lbt 3liha hta 3yit wach momkine nbdlouha b chocolat dyal dahne ? lbnat 3afakom li chaft l commentaire dyali o 3ndha chi m3louma tfidni wa9fa 3la had lwasfa
"I started to suspect that you were cheating on me on Facebook, assuming that you were cheating even though I know it's not you.",Bdah ana chhal Man grob dkhla lih fi lfayc 3la asas dkhla 3ndak hta kn3raf bli machi nti
May God give you health.,Mcha alah alah ya3tik saha
"Hi sister Halima, please if I want to put almonds in it, how much should I put in and for how long? Thank you in advance.",Salam khti halima 3afak ila brit nder fih loz mchhal nder okinderliha chocran mosba9an
Let,< br > ﺧﻞ
"Hello sister Halima, God bless you. Honestly, I tried your recipe for Matador-style bread, and thanks to your advice, I prepared the dough and everything turned out great. May God keep your hands blessed. I really thank you so much.",Salamo 3alaykom okhti 7alima tbarklah 3lik sara7a jarbt 3adlt xbakiya tba3t matador tarifa nasi7a dyalk 7adart l3sila kolxi nja7 m3aya lah ykhalilk dik lydiwdat sara7a kanxkrk bzaaaaf
"May God bless you and give you health, I tried it today and it turned out great.",Tbaraklah 3lik lah ya3tik se7a jarbtha lyoum jat wa3ra
Please give me 500g of green anise.,3afak 500g chhal bkas 3anba
"Hello sister, the best one was on YouTube, may God protect you.",Salam akhti Ahsan 9anat kaina fi youtube lahi hafadak
Made in Morocco,👉 made in morocco 🇲 🇦 👉 👉 🇩 🇿 🗿
"May God give you health, I will try your method. There are no leaves and it's all puffed up like that.",Saraha lah y3etik saha ranjarab tari9a dylk makaijinich mwar9 wmnfokh hakda
Welcome to the sweets channel 💥 . thank you .,Benvenuto nel canale dei dolci 💥 . grazie .
May you have a good evening.,Layrtik saha
May God give you health,"Alah yaatik assaha 👍 👍 👍 👍 👍 👍 < a href = "" https : / / www . youtube . com / watch ? v = phycgO5MO - c & amp ; t = 487 "" > 8 : 07 < / a >"
"Hello, how are you? Please let me know if you are taking orders. Thank you.",Salam ça va SVP vous pouvez me dire si vous prenez les commandes et merci
"God bless you Halima, always shining ❤️❤️❤️❤️👍👍👍👍👍👍👍👍🌺🌺🌺🌺👍👍👍👍👍",Tbark Allah alayk Halima dima moutaallika ❤ ️ ❤ ️ ❤ ️ ❤ ️ 👍 👍 👍 👍 👍 👍 👍 👍 🌺 🌺 🌺 🌺 👍 👍 👍 👍 👍
"I am a new follower wishing you all the best, you deserve it.",Ana motatabi3a jdida kantmnalk kol tawfi9 tstahli
"Assalam aleykum,

Fino is all-purpose flour in English.",Assalam aleykum ukhty pls this is flour what you call in English what is farina is white flour and another is semolina for Basbusa you tell me in English what is fino
"Make a salad without oil, oil is expensive hh",Diri mo3asalat bla zit zit ghali hh
"Please send me your number, my sister. I live in Belgium and I want your chabakia. May God protect you.",3afek akhti siftili namra dyalak ana sakna f belgika bgit chabakia dyalak Allah yhafdakkkk
I am one of your followers.,Ana man motatabi3in dyalk 👍 👍 👍 👍 👍 👍
"And peace be upon you, thank you very much for the recipe.","Wa aleykoum salam , merci beaucoup pour la recette . 😘 😋 🤗"
Give me the link to report this group 🙏,7ti lien nsignaliw had grp 🙏
"The first time I see the video
God is enough for me and He is the best disposer of affairs",La première fois que je vois la vidéo < br > Hassbi Allah w ni3ma el wakil
"Mrs. Halima,
No one can tarnish your name. You are a member of all Moroccan families. Stay strong for the rest.","Madame Halima , < br > Personne ne . peut toucher votre nom . Vous êtes une membre de toutes les familles marocaines . Courage pour le reste ."
"May God give you health, sister Halima. You didn't want to work with papers. As for me, in Spain, there are no papers.",Lah y3tik saha a5ti halima makrhtchi t5dmi belwar9a défino ana fisbnya makaynachi war9a
"God make it easy for you, well done, God has willed it for you. Mounmoune from Tangier.",Lah yssahal 3lik bravo machaalah 3lik . mounmoune de tanger
"May God bless you, Halima. Well done, and good luck.",Tbrklh 3lik lala halima mchalh 3lik bon courag .
"Good luck, my sister Halima, you deserve all the best.",Bonne courage kheti Halima testahli koul kher
"Everything has become very expensive, it's really costly. Everything is expensive. May God have mercy on us, that's it.",Tbarklah hadxi ghezal blha9 mokalif bzzf kolxi ghali lah yrhamna w safi
"Translation:
God bless you, sister Halima, and may He ease your affairs. ❤ ❤",Tbarkellah 3lik akhti Halima o ysehel oumerek ❤ ❤
"Hello sister, the method of storing in the freezer, what do you store, and the fried foods, what if the apricots are given to it, they won't wither, thank you.",Salam akhti tari9a tkhzin flmojmd wach khdrin wlam9liyin wach lmchmach ilat3tlo mayrmalos chokran
My sister Halima wanted me but I'm going to try them.,Chahitini akhti Halima walkin Ghadi njarbhom
"Everything I've tried, it always works out. You're always right, my dear sister Hloma.",lisd9at liha tjawbni wakha kolchi lijrbt kaysda9 dima me3ak khti hloma
May God protect you and keep you safe.,Rabi yehmik we yahfethek
"May God bless you, top chef ❤",Top chef tbarkellah 3lik ❤
God has willed it.,Machallah
Always great ❤ ❤,Toujours tope ❤ ❤
"You gave her health, you are the top on this YouTube, but the rest is all rubbish. The content is good, cooking is great in a variety of ways. Everything is simple.",Lay3tik saha nti hiya top fhad lyoutob ama lba9ya kolchi tkhrbi9 . Mohtawa zwin tabkh ghzal fmotanaw ljami3 . Okolchi bsit .
"Hello sister Halima, please make us some cookies with almond powder, thank you.",Slm khti halima dirilina briwate bi louze poudre merci
May God keep the wicked away from you. God is sufficient for us and He is the best disposer of affairs.,Lah yb3ad 3lik wlad lhram . Hasbona lah wani3ma lwakil .
"May God protect you, my dear. Good continuation and good luck. God has willed it. A thousand thousand thanks.",Allah ihafdak ma chére bonne continuation et bon courage macha Allah 1000 1000 chokr
I'm not warm and I'm cold in my robe.,Ma dafi ou la bared mn robini
Please write the ingredients for me because I don't know the amounts.,3afak ktbilina lma9adir blkas hit ana ma3rftch blgramat
"God bless you, may God give you health.",Tbark Allah 3lik allah i3tik assaha
"Give Halima, may God protect you, so that she can hang the laundry, may God reward you with goodness.",5ti halima lah yhfdk tbti t3li9i lah yjazik bi5ir
"May God make it easy for you, my sister Halima Filali. You are a wonderful woman. You taught us a lot in our homes, understood us, and everything you say is true. May God protect you, my sister. When I pray, I pray for you. I learned everything from you.",Lah isahl 3lik akhti halima lfilali n3ma lmaraa nav3ana bzaf o3alimtuna fi byotna otfahmuna okolk misda9iya lahla ikhatik 3lin odima kand3i ma3k t3almt mnk kolchi
"Peace be upon you and God's mercy, sister Halima. I have been one of your followers for more than eight years now. This is our home.",ﺍﻟﺴﻼﻡ ﻋﻠﻴﻜﻢ ﻭﺭﺣﻤﺔ ﷲ ﺍﺧﺘﻲ ﺣﻠﻴﻤﺔ ﺭﺍﻧﻲ ﻣﻦ ﺍﻟﻤﺘﺘﺒﻌﺎﺕ ﺩﻳﺎﻟﻚ ﻣﺎﻳﺰﻳﺪ ﻋﻦ ﺛﻤﺎﻥ ﺳﻨﻮﺍﺓ ﺳﻨﻴﻦن ﻫﺎﺩﻱ ﺭﺍﻫﺎ ﺩﺍﺭﻧﺎ
"My brother, words of gratitude are not enough for you. I swear to God to give you your health.",ykhtiii klmat chokr 9lila fha9k wlaah ly3tik shyhtk
<3,& lt ; 3
"God has willed it, it's a dish that warms you up in winter 👍",Machallah c est un plat qui réchauffe en hiver 👍
God bless you 😍 🌺,Tbarklah 3lik 😍 🌺
"May God not deprive us of you, Halima... Give us an idea for dinner in Ramadan that includes both iftar and dinner...",Lah la ykhattik 3lina Halima . . . 3tina fikrat dial la3cha f Ramdan li ykon fih ftour w 3cha . . .
"You are very dear to us, may God make you precious to your family. And we know you are not of that type.",Nti 3ziza 3lina bzf lah yghalbek 3likom . O 7na 3arfink machi men dak no3 .
"Congratulations, my sister Halima. You're blessed. This is a man's job.",Tbarkelah 3lik a khti halima 3wacher mebroka hadchi rzal .
"Sister, I am following you because of your beauty ❤ ️ ❤ ️ ❤ ️ a lot",Akhti Ana kantab3ak chhiwatak ❤ ️ ❤ ️ ❤ ️ top
"God bless you, you made a lot of effort.",Tbarklah 3lik lahoma yasir
"C'est tellement délicieux, j'aime ça. Merci d'avoir partagé ta recette mon ami.","Its so yummy , i like it . thank you for sharing your recipe my friend ."
"Bless you, my love. You're always radiant.",Tbrkalah 3lik hbiba dima mnawra ♥ ️
"I'm sorry, but ""Machaalg"" is not a valid Moroccan Arabic word or phrase. It doesn't have a direct translation to English. Could you please provide a different input or check the spelling?",Machaalg
"May God bless you, my son. May He keep you away from harm and protect you, my dear. May God be with you.",Tabrkhle neti top lahe ib3de 3elke walde harme lahe ma3ke
And what,W ma
