Darija_Arabe,Arabizi,Arabe_Standard,Anglais
الراجل,rrajl,الرجل,husband
الراجل,arrajel,الرجل,husband
الراجل,rrajal,الرجل,husband
خطيبي,5atibi,خطيبي,fiancé 
خطيبتي,khatibti,خطيبتي,fiancée 
خطيبي,khatibi,خطيبي,fiancé 
خطيبتي,khatibti,خطيبتي,fiancée 
مجوّج,mjwwj,متزوج,married
مجوّج,mzwwj,متزوج,married
مجوّج,mjawwej,متزوج,married
مجوّجة,mjwwja,متزوجة,married
مجوّجة,mzwwja,متزوجة,married
مجوّجة,mjawweja,متزوجة,married
مجوّج,mjwj,متزوج,married
مجوّج,mzwj,متزوج,married
مجوّج,mjawej,متزوج,married
مجوّجة,mjwja,متزوجة,married
مجوّجة,mzwja,متزوجة,married
مجوّجة,mjaweja,متزوجة,married
عزري,3zri,أعزب,single
عزري,3azri,أعزب,single
عزري,3ezri,أعزب,single
الدراري,ddrari,الأطفال,children
الدراري,drari,الأطفال,children
خوت,khout,إخوة,brothers
خوت,5out,إخوة,brothers
خواتات,khwatat,أخواتات,sisters
خواتات,5watat,أخواتات,sisters
واليدين,walidin,الوالدين,parents
خوال,khwal,الأخوال,uncles
خوال,5wal,الأخوال,uncles
عمام,3mam,الأعمام,uncles
عمام,a3mam,الأعمام,uncles
حفيد,7fid,حفيد,grandchild
حفيد,hfid,حفيد,grandchild
حفيد,7afid,حفيد,grandchild
جدّ,jdd,جدّ,grandfather
جدّ,jedd,جدّ,grandfather
جدّ,jadd,جدّ,grandfather
جدّة,jdda,جدّة,grandmother
جدّة,jedda,جدّة,grandmother
جدّة,jadda,جدّة,grandmother
حنّة,7enna,حنّة,grandmother
نساب,nsab,نساب,family-in-law
نساب,nsaab,نساب,family-in-law
شنو تسمية الاب ديالك,chno tesmiyat dyal l ab dyalek,ما اسم والدك؟,What is your father's name?
شحال عندك من خوت؟,Chhal 3andek mn khout?,كم عندك إخوة وأخوات؟,How many brothers and sisters do you have?
شحال عندك من خوت؟,Chhal 3andek mn 5out?,كم عندك إخوة وأخوات؟,How many brothers and sisters do you have?
فين أمك؟,Feen ommek?,أين أمك؟,Where is your mother?
فين أمك؟,Fin ommek?,أين أمك؟,Where is your mother?
فين أمك؟,Feen mok?,أين أمك؟,Where is your mother?
فين أمك؟,Fin omek?,أين أمك؟,Where is your mother?
شحال عمر خوك,Ch7al 3mor 5ouk,كم عمر أخوك؟,How old is your brother?
شحال عمر خوك,Ch7al 3mor khok,كم عمر أخوك؟,How old is your brother?
عندك ولاد,3ndak wlad?,هل لديك أولاد؟,Do you have children?
شكون هو أكبر واحد فالعائلة ديالك,Chkon houwa akbar wa7ed f l3a2ila dyalek,من هي أكبر شخص في عائلتك؟,Who is the oldest person in your family?
شكون هو أكبر واحد فالعايلة ديالك,Chkon houwa akbar wa7ed f l3ayla dyalek,من هي أكبر شخص في عائلتك؟,Who is the oldest person in your family?
واش عندك عمّ؟,Wach 3ndek 3amm?,هل لديك عم؟,Do you have an uncle?
واش خوك مزوّج؟,Wach khouk mzewwej?,هل أخوك متزوج؟,Is your brother married?
واش أختك عندها ولاد؟,Wach khtek 3ndha wlad?,هل أختك لديها أولاد؟,Does your sister have children?
كيداير جدك؟,Kidayr jddk?,كيف حال جدك؟,How is your grandfather?
كيداير جدك؟,Kidayr jeddk?,كيف حال جدك؟,How is your grandfather?
كيداير جدك؟,Kidayr jedk?,كيف حال جدك؟,How is your grandfather?
عايلتك كاينة في المدينة,3ayltk kayn fi lmdina?,هل تعيش عائلتك في المدينة؟,Does your family live in the city?
واش عائلتك ساكنة ف المدينة؟,wach 3ayltk sakna f lmdina,هل تعيش عائلتك في المدينة؟,Does your family live in the city?
واش عائلتك ساكنة ف المدينة؟,wach 3ayletk sakna f lmedina,هل تعيش عائلتك في المدينة؟,Does your family live in the city?
واش بوك خدام؟,Wash bouk khddam?,هل والدك يعمل؟,Does your father work?
واش بوك خدام؟,Wach bouk 5edam?,هل والدك يعمل؟,Does your father work?
واش باك كيخدم؟,Waؤh bak kaye5ddm?,هل والدك يعمل؟,Does your father work?
واش بوك كيخدم؟,Waؤh bouk kaye5ddm?,هل والدك يعمل؟,Does your father work?
فوقتاش عيد ميلاد مّاك؟,Fou9tach 3id milad mmak?,متى عيد ميلاد أمك؟,When is your mother's birthday?
فوقتاش عيد ميلاد مّاك؟,Fou9tach 3id milad mak?,متى عيد ميلاد أمك؟,When is your mother's birthday?
فوقتاش عيد ميلاد مّاك؟,Fou9tach 3id milad omak?,متى عيد ميلاد أمك؟,When is your mother's birthday?
واش عندك ولاد عمّ؟,3ndak awlad 3amm?,هل لديك أولاد عم؟,Do you have cousins?
واش عندك ولاد عمّ؟,3ndk wlad 3am?,هل لديك أولاد عم؟,Do you have cousins?
شكون هو الصغير ف العائلة ديالك؟,chkon sghar wahd f l3ayla dyalk,من هي أصغر شخص في عائلتك؟,Who is the youngest person in your family?
شكون هو الصغير ف العائلة ديالك؟,chkon sghar wa7ed f l3ayla dyalk,من هي أصغر شخص في عائلتك؟,Who is the youngest person in your family?
باك كيهدر شي لغة اخرى,Bak kayhdr chi lougha okhra?,هل والدك يتحدث لغة أخرى؟,Does your father speak another language?
باك كيهدر شي لغة اخرى,Bلاak kayhdr chi lora 5ra?,هل والدك يتحدث لغة أخرى؟,Does your father speak another language?
واش الوالدة ديالك كتسيفط المعرفة؟,wach lwalida dyalek katsifet lma3rifa,هل أمك تقوم بنقل المعرفة؟,Does your mother share knowledge?
عايش مع والديك,3aych m3a walidik?,هل تعيش مع والديك؟,Do you live with your parents?
عايش مع والديك,aych m3a walidik?,هل تعيش مع والديك؟,Do you live with your parents?
عايش مع والديك,3ayech m3a waldik?,هل تعيش مع والديك؟,Do you live with your parents?
عندك خوت صغار,3ndak khout sghar?,هل لديك إخوة أصغر؟,Do you have younger brothers?
عندك خوت صغار,3ndk 5out sghar?,هل لديك إخوة أصغر؟,Do you have younger brothers?
جدك كيعيش معاكم,Jaddak kay3ich m3akom?,هل يعيش جدك معكم؟,Does your grandfather live with you?
جدك كيعيش معاكم,Jaddk kay3ich m3akom?,هل يعيش جدك معكم؟,Does your grandfather live with you?
شنو كيخدم لواليد ديالك,chno kaya5dm lwalid dyalek,ما هي مهنة والدك؟,What is your father's job?
شنو كيخدم لواليد ديالك,chno kaykhdm lwalid dyalek,ما هي مهنة والدك؟,What is your father's job?
فين تسكن مع عايلتك,Fin taskn m3a 3ayltk?,أين تسكن مع عائلتك؟,Where do you live with your family?
