Darija (Arabe),Arabizi,Arabe,Anglais
خزامة,5ouzama,خزامى,Lavender
خزامة,5ozama,خزامى,Lavender
زعتر,za3tar,زعتر,Thyme
كروية,karwia,كراوية,Caraway
حلبة,halba,حلبة,Fenugreek
حلبة,hlba,حلبة,Fenugreek
حلبة,7alba,حلبة,Fenugreek
سدر,sidr,سدر,Jujube (Ziziphus)
نبق,nba9,سدر,Jujube (Ziziphus)
نعناع,na3na3,نعناع,Mint
رمان,rman,رمان,Pomegranate
رمان,roman,رمان,Pomegranate
ريحان,ri7an,ريحان,Basil
زعفران,za3fran,زعفران,Saffron
خزامى,khzama,خزامى,Lavender
قمح,qmh,قمح,Wheat
قمح,9amh,قمح,Wheat
قمح,9mh,قمح,Wheat
شعير,cha3ir,شعير,Barley
شعير,ch3ir,شعير,Barley
زنجبيل,zanjbil,زنجبيل,Ginger
زنجبيل,zanjabil,زنجبيل,Ginger
كركم,korkom,كركم,Turmeric
كركم,korkm,كركم,Turmeric
زيزفون,zizfoun,زيزفون,Linden (Tilia)
عرعار,3r3ar,عرعار,Juniper
عرعار,3ar3ar,عرعار,Juniper
حب رشاد,hb rshad,حب رشاد,Garden Cress
حب رشاد,hab rshad,حب رشاد,Garden Cress
حرير,hrir,حرير,Silk Plant
حرير,7rir,حرير,Silk Plant
لوز,loz,لوز,Almond
لوز,louz,لوز,Almond
كرم,karm,كرم,Vine (Grapevine)
كرم,karma,كرم,Vine (Grapevine)
دفلة,dafla,دفلة,Oleander
دفلة,defla,دفلة,Oleander
زقوم,zaqoum,زقوم,Zaqqum (Tree of Hell)
زقوم,za9oum,زقوم,Zaqqum (Tree of Hell)
كف مريم,kaf maryam,كف مريم,Rose of Jericho
مر,mar,مر,Myrrh
مر,morr,مر,Myrrh
لسان الحمل,lsan al7aml,لسان الحمل,Plantain
لسان الحمل,lsan alhaml,لسان الحمل,Plantain
سوس,sous,عرق السوس,Licorice
عود,3oud,عود,Agarwood
قرنفل,qronfol,قرنفل,Clove
قرنفل,9ronfol,قرنفل,Clove
نخيل البلح,nakhil albal7,نخيل البلح,Date Palm
قطف,qtaf,قطف,Saltbush
ورقة سيدنا موسى,wrqat sidna mousa,ورقة سيدنا موسى,Bay leaf
خرشف,kharchaf,خرشوف,Artichoke
لبانة,labana,لبان,Frankincense
كرافس,krafss,كرفس,Celery
توت,tout,توت,Mulberry
ورد,ward,ورد,Flower
حبق,hbaq,حبق,Sweet Basil
حبق,hba9,حبق,Sweet Basil
دغموس,daghmous,دغموس,Euphorbia (Resin Spurge)
جرجير,jarjir,جرجير,Rocket (Arugula)
ياسمين,yasmine,ياسمين,Jasmine
سواك,siwak,سواك,Miswak (Toothbrush Tree)
تين,tin,تين,Fig
زيتون,zitoun,زيتون,Olive
نيلة,nila,نيلة,Indigo Plant
خرذل,khardal,خردل,Mustard
خرذل,5ardal,خردل,Mustard
شيح,chi7,شيح,Wormwood
شيح,shih,شيح,Wormwood
بسباس,besbas,بسباس,Fennel
بسباس,besbes,بسباس,Fennel
خروب,5aroub,خروب,Carob
خروب,kharoub,خروب,Carob
قرفة,qerfa,قرفة,Cinnamon
قرفة,9erfa,قرفة,Cinnamon
قرفة,9arfa,قرفة,Cinnamon
زعرور,za3rour,زعرور,Hawthorn
بابونج,babounj,بابونج,Chamomile
نرجس,narjis,نرجس,Narcissus
رْكِيزَة,rkiza,بابونج,Chamomile
تمر هندي,tamr hindi,تمر هندي,Tamarind
تمر هندي,tamr 8indi,تمر هندي,Tamarind
قرطم,qartom,قرطم,Safflower
قرطم,9artom,قرطم,Safflower
عوسج,3awsaj,عوسج,Lycium (Boxthorn)
