Darija_Arabe,Arabizi,Arabe_Standard,Anglais
سبعة و عشرين,sb3ao3chrin ,سبعة و عشرين,twenty-seven
سبعة و عشرين,sb3aw3chrin,سبعة و عشرين,twenty-seven
تمنية وعشرين,tmaniaw3chrin,ثمانية وعشرين,twenty-eight
تمنية وعشرين,tmeniao3chrin,ثمانية وعشرين,twenty-eight
تمنية وعشرين,tmnia ou 3chrine,تسعة وعشرين,twenty-nine
تسعود عشرين,ts3oud3chrin,تسعة وعشرين,twenty-nine
تسعود عشرين,ts3odw3chrin,تسعة وعشرين,twenty-nine
تسعود عشرين,ts3oudo3chrin,تسعة وعشرين,twenty-nine
تسعود عشرين,ts3oud ou 3chrin,تسعة وعشرين,twenty-nine
تلاتين,tlatin,ثلاثين,thirty
تلاتين,thlathine,ثلاثين,thirty
تلاتين,tlathine,ثلاثين,thirty
ربعين,rb3in,أربعين,fourty
ربعين,rab3in,أربعين,fourty
ربعين,reb3ine,أربعين,fourty
خمسين,5msin,خمسين,fifty
خمسين,5amsin,خمسين,fifty
خمسين,5emsin,خمسين,fifty
خمسين,khamsin,خمسين,fifty
خمسين,khmsine,خمسين,fifty
ستين,settine,ستين,sixty
ستين,satine,ستين,sixty
ستين,setine,ستين,sixty
ستين,settine,ستين,sixty
ستين,sttin,ستين,sixty
سبعين,sb3ine,سبعين,seventy
سبعين,seb3in ,سبعين,seventy
سبعين,sab3ine,سبعين,seventy
تمانين,tmanin,ثمانين,eighty
تمانين,thmanin,ثمانين,eighty
تسعين,tes3ine,تسعين,ninety
تسعين,ts3ine,تسعين,ninety
تسعين,tas3ine,تسعين,ninety
مية,miya,مئة,Hundred
الف,alf,ألف,Thousand
الاف,alaf,آلاف,Thousands
الاف,elaf,آلاف,Thousands
الاف,2alaf,آلاف,Thousands
مليون,malyoun,مليون,Million
مليون,melyoun,مليون,Million
مليون,mlyoun,مليون,Million
مليون,mélyoun,مليون,Million
مليار,melyar,مليار,Billion
مليار,malyar ,مليار,Billion
مليار,mlyar,مليار,Billion
و,w,و,and
و,wa ,و,and
و,o,و,and
و,ou,و,and
لول,lwl,أول,First
لول,lawal,أول,First
لول,lwal,أول,First
لول,lawl,أول,First
تاني,ttani,ثاني,Second
تاني,thani,ثاني,Second
تاني,tani,ثاني,Second
ثلث,toloth,ثلث,Third
ثلث,tholoth,ثلث,Third
ربع,rob3,ربع,Quarter
ربع,robo3,ربع,Quarter
ربع,robou3,ربع,Quarter
خمس,khomos,خمس,Fifth
خمس,5omos,خمس,Fifth
خمس,5oms,خمس,Fifth
سدس,sodos,سدس,Sixth
سدس,sods,سدس,Sixth
سبع,sobo3,سبع,Seventh
سبع,sob3,سبع,Seventh
ثمن,thomon,ثمن,Eighth
ثمن,tomn,ثمن,Eighth
ثمن,tomon,ثمن,Eighth
عشر,3ochr,عشر,Tenth
عشر,3ochor,عشر,Tenth
