Darija (Arabic),Darija (Arabizi),Arabic Standard,English
سرّاق زّيت,srra9zzit,صرصور,cockroach
سرّاق زّيت,srra9 zzit,صرصور,cockroach
سرّاق زّيت,srra9 zit,صرصور,cockroach
بوجعران,boj3ran,صرصور,cockroach
بوجعران,bouj3ran,صرصور,cockroach
ڭمل,gml,قمل,louses
ڭمل,gmel,قمل,louses
ڭمل,gmal,قمل,louses
منقار,mn9ar,منقار,beak
منقار,man9ar,منقار,beak
منقار,men9ar,منقار,beak
منقار,manqar,منقار,beak
جناح,jna7,جناح,wing
جناح,jnah,جناح,wing
ريشة,richa,ريشة,feather
ريشة,rycha,ريشة,feather
غول,ghoul,وحش,beast
غول,ghol,وحش,beast
فرس النهر,faras nna8r,فرس النهر,hippopotamus
فرس النهر,faras nnahr,فرس النهر,hippopotamus
وحيد لقرن,wa7id l9arn,وحيد لقرن,rhinoceros
وحيد لقرن,wahid l9arn,وحيد لقرن,rhinoceros
وحيد لقرن,wahid lqarn,وحيد لقرن,rhinoceros
حمار وحشي,7imar wa7chi,حمار وحشي,zebra
حمار وحشي,7imar w7chi,حمار وحشي,zebra
غزالة,ghzala,غزالة,deer
فهد,fa8d,فهد,leopard
فهد,fahd,فهد,leopard
فهد,fehd,فهد,leopard
فرّوج,ferrouj,فرّوج,cock
فرّوج,frroj,فرّوج,cock
فرّوج,farouj,فرّوج,cock
هدهد,8od8od,هدهد,hoopoe
هدهد,hodhod,هدهد,hoopoe
هامستر,hamster,هامستر,hamster
هامستر,8amster,هامستر,hamster
پاندا,panda,پاندا,panda
پاندا,ppanda,پاندا,panda
اللاما,llama,اللاما,llama
كوالا,koala,كوالا,koala
كوالا,kwala,كوالا,koala
كوالا,kowala,كوالا,koala
